rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2012-11-09,North Carolina A&T,,Greensboro,REG (Non-Conf),W 83-52,,11,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,0,1,1,1,0,0,1,1,0,-3.2,H,1,1,shaun-stewart-1,Shaun Stewart,2013
2,2,3,2012-11-16,North Carolina A&T,@,Wright State,REG (Non-Conf),L 44-56,,4,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,-1.1,A,0,1,shaun-stewart-1,Shaun Stewart,2013
3,3,4,2012-11-18,North Carolina A&T,@,Cincinnati,REG (Non-Conf),L 39-93,,9,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,0,1,1,0,0,0,3,1,2,-2.8,A,0,1,shaun-stewart-1,Shaun Stewart,2013
4,4,5,2012-11-20,North Carolina A&T,@,Iowa State,REG (Non-Conf),L 57-86,,11,3,5,0.6,1,3,0.333,2,2,1.0,0.7,0,0,1,0,1,0,0,0,0,0,7,5.4,A,0,1,shaun-stewart-1,Shaun Stewart,2013
5,5,6,2012-11-23,North Carolina A&T,N,Campbell,REG (Non-Conf),W 85-60,,4,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,1,0,1,1,0,0,0,0,0,0.0,N,1,1,shaun-stewart-1,Shaun Stewart,2013
6,6,7,2012-11-24,North Carolina A&T,N,Jacksonville State,REG (Non-Conf),L 50-54 (OT),,4,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,N,0,1,shaun-stewart-1,Shaun Stewart,2013
7,7,15,2013-01-02,North Carolina A&T,,Radford,REG (Non-Conf),W 81-77,,12,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,0,0,0,0,0,0,1,2,3,0.2,H,1,1,shaun-stewart-1,Shaun Stewart,2013
8,8,18,2013-01-14,North Carolina A&T,@,Florida A&M,REG (Conf),W 68-40,,10,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,0,1,1,2,0,0,2,0,4,2.4,A,1,1,shaun-stewart-1,Shaun Stewart,2013
9,9,19,2013-01-19,North Carolina A&T,,Howard,REG (Conf),W 61-37,,7,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,1,0,1,0,0,0,0,0,0,-0.7,H,1,1,shaun-stewart-1,Shaun Stewart,2013
10,10,29,2013-03-02,North Carolina A&T,,South Carolina State,REG (Conf),W 58-35,,2,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,0,0,0,0,2,0,0,0,3,4.0,H,1,1,shaun-stewart-1,Shaun Stewart,2013
11,11,34,2013-03-15,North Carolina A&T,N,Delaware State,CTOURN,W 84-78,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,N,1,0,shaun-stewart-1,Shaun Stewart,2013
12,12,37,2013-03-21,North Carolina A&T,N,Louisville,ROUND-64,L 48-79,,1,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,0,0,0,0,0,0,1,1,4,2.0,N,0,0,shaun-stewart-1,Shaun Stewart,2013
