team_abbrev,team_name,seed,wins,exit_round,year
louisville,Louisville,1,6,Champion,2013
michigan,Michigan,4,5,Runner-up,2013
wichita-state,Wichita State,9,4,F4,2013
syracuse,Syracuse,4,4,F4,2013
ohio-state,Ohio State,2,3,E8,2013
florida,Florida,3,3,E8,2013
marquette,Marquette,3,3,E8,2013
duke,Duke,2,3,E8,2013
indiana,Indiana,1,2,S16,2013
arizona,Arizona,6,2,S16,2013
la-salle,La Salle,13,2,S16,2013
florida-gulf-coast,Florida Gulf Coast,15,2,S16,2013
michigan-state,Michigan State,3,2,S16,2013
oregon,Oregon,12,2,S16,2013
kansas,Kansas,1,2,S16,2013
miami-fl,Miami (FL),2,2,S16,2013
san-diego-state,San Diego State,7,1,R32,2013
virginia-commonwealth,VCU,5,1,R32,2013
california,California,12,1,R32,2013
mississippi,Ole Miss,12,1,R32,2013
gonzaga,Gonzaga,1,1,R32,2013
creighton,Creighton,7,1,R32,2013
temple,Temple,9,1,R32,2013
illinois,Illinois,7,1,R32,2013
north-carolina,UNC,8,1,R32,2013
memphis,Memphis,6,1,R32,2013
minnesota,Minnesota,11,1,R32,2013
saint-louis,Saint Louis,4,1,R32,2013
harvard,Harvard,14,1,R32,2013
butler,Butler,6,1,R32,2013
iowa-state,Iowa State,10,1,R32,2013
colorado-state,Colorado State,8,1,R32,2013
southern,Southern,16,0,R64,2013
georgetown,Georgetown,2,0,R64,2013
montana,Montana,13,0,R64,2013
pacific,Pacific,15,0,R64,2013
pittsburgh,Pitt,8,0,R64,2013
wisconsin,Wisconsin,5,0,R64,2013
oklahoma,Oklahoma,10,0,R64,2013
nevada-las-vegas,UNLV,5,0,R64,2013
belmont,Belmont,11,0,R64,2013
new-mexico,New Mexico,3,0,R64,2013
notre-dame,Notre Dame,7,0,R64,2013
north-carolina-state,NC State,8,0,R64,2013
kansas-state,Kansas State,4,0,R64,2013
south-dakota-state,South Dakota State,13,0,R64,2013
northwestern-state,Northwestern State,14,0,R64,2013
ucla,UCLA,6,0,R64,2013
north-carolina-at,North Carolina A&T,16,0,R64,2013
missouri,Missouri,9,0,R64,2013
oklahoma-state,Oklahoma State,5,0,R64,2013
colorado,Colorado,10,0,R64,2013
new-mexico-state,New Mexico State,13,0,R64,2013
saint-marys-ca,Saint Mary's,11,0,R64,2013
valparaiso,Valparaiso,14,0,R64,2013
cincinnati,Cincinnati,10,0,R64,2013
davidson,Davidson,14,0,R64,2013
albany-ny,Albany (NY),15,0,R64,2013
james-madison,James Madison,16,0,R64,2013
western-kentucky,Western Kentucky,16,0,R64,2013
villanova,Villanova,9,0,R64,2013
akron,Akron,12,0,R64,2013
bucknell,Bucknell,11,0,R64,2013
iona,Iona,15,0,R64,2013
