team_abbrev,team_name,seed,wins,exit_round,year
baylor,Baylor,1,6,Champion,2021
gonzaga,Gonzaga,1,5,Runner-up,2021
ucla,UCLA,11,4,F4,2021
houston,Houston,2,4,F4,2021
southern-california,USC,6,3,E8,2021
arkansas,Arkansas,3,3,E8,2021
oregon-state,Oregon State,12,3,E8,2021
michigan,Michigan,1,3,E8,2021
villanova,Villanova,5,2,S16,2021
oregon,Oregon,7,2,S16,2021
oral-roberts,Oral Roberts,15,2,S16,2021
creighton,Creighton,5,2,S16,2021
florida-state,Florida State,4,2,S16,2021
loyola-il,Loyola (IL),8,2,S16,2021
syracuse,Syracuse,11,2,S16,2021
alabama,Alabama,2,2,S16,2021
west-virginia,West Virginia,3,1,R32,2021
florida,Florida,7,1,R32,2021
texas-tech,Texas Tech,6,1,R32,2021
north-texas,North Texas,13,1,R32,2021
iowa,Iowa,2,1,R32,2021
wisconsin,Wisconsin,9,1,R32,2021
oklahoma,Oklahoma,8,1,R32,2021
abilene-christian,Abilene Christian,14,1,R32,2021
illinois,Illinois,1,1,R32,2021
rutgers,Rutgers,10,1,R32,2021
colorado,Colorado,5,1,R32,2021
ohio,Ohio,13,1,R32,2021
louisiana-state,LSU,8,1,R32,2021
maryland,Maryland,10,1,R32,2021
oklahoma-state,Oklahoma State,4,1,R32,2021
kansas,Kansas,3,1,R32,2021
drake,Drake,11,0,R64,2021
eastern-washington,Eastern Washington,14,0,R64,2021
virginia-tech,Virginia Tech,10,0,R64,2021
ohio-state,Ohio State,2,0,R64,2021
colgate,Colgate,14,0,R64,2021
virginia-commonwealth,VCU,10,0,R64,2021
virginia,Virginia,4,0,R64,2021
norfolk-state,Norfolk State,16,0,R64,2021
missouri,Missouri,9,0,R64,2021
california-santa-barbara,UCSB,12,0,R64,2021
st-bonaventure,St. Bonaventure,9,0,R64,2021
brigham-young,BYU,6,0,R64,2021
utah-state,Utah State,11,0,R64,2021
purdue,Purdue,4,0,R64,2021
texas,Texas,3,0,R64,2021
connecticut,UConn,7,0,R64,2021
iona,Iona,15,0,R64,2021
drexel,Drexel,16,0,R64,2021
georgia-tech,Georgia Tech,9,0,R64,2021
tennessee,Tennessee,5,0,R64,2021
liberty,Liberty,13,0,R64,2021
san-diego-state,San Diego State,6,0,R64,2021
morehead-state,Morehead State,14,0,R64,2021
clemson,Clemson,7,0,R64,2021
georgetown,Georgetown,12,0,R64,2021
cleveland-state,Cleveland State,15,0,R64,2021
texas-southern,Texas Southern,16,0,R64,2021
hartford,Hartford,16,0,R64,2021
north-carolina,UNC,8,0,R64,2021
north-carolina-greensboro,UNC Greensboro,13,0,R64,2021
winthrop,Winthrop,12,0,R64,2021
grand-canyon,Grand Canyon,15,0,R64,2021
