team_abbrev,team_name,seed,wins,exit_round,year
duke,Duke,1,0,R64,2026
siena,Siena,16,0,R64,2026
ohio-state,Ohio State,8,0,R64,2026
texas-christian,TCU,9,0,R64,2026
st-johns-ny,St. John's (NY),5,0,R64,2026
northern-iowa,Northern Iowa,12,0,R64,2026
kansas,Kansas,4,0,R64,2026
california-baptist,Cal Baptist,13,0,R64,2026
louisville,Louisville,6,0,R64,2026
south-florida,South Florida,11,0,R64,2026
michigan-state,Michigan State,3,0,R64,2026
north-dakota-state,North Dakota State,14,0,R64,2026
ucla,UCLA,7,0,R64,2026
central-florida,UCF,10,0,R64,2026
connecticut,UConn,2,0,R64,2026
furman,Furman,15,0,R64,2026
arizona,Arizona,1,0,R64,2026
long-island-university,LIU,16,0,R64,2026
villanova,Villanova,8,0,R64,2026
utah-state,Utah State,9,0,R64,2026
wisconsin,Wisconsin,5,0,R64,2026
high-point,High Point,12,0,R64,2026
arkansas,Arkansas,4,0,R64,2026
hawaii,Hawaii,13,0,R64,2026
brigham-young,BYU,6,0,R64,2026
texas,Texas,11,0,R64,2026
gonzaga,Gonzaga,3,0,R64,2026
kennesaw-state,Kennesaw State,14,0,R64,2026
miami-fl,Miami (FL),7,0,R64,2026
missouri,Missouri,10,0,R64,2026
purdue,Purdue,2,0,R64,2026
queens-nc,Queens,15,0,R64,2026
michigan,Michigan,1,0,R64,2026
howard,Howard,16,0,R64,2026
georgia,Georgia,8,0,R64,2026
saint-louis,Saint Louis,9,0,R64,2026
texas-tech,Texas Tech,5,0,R64,2026
akron,Akron,12,0,R64,2026
alabama,Alabama,4,0,R64,2026
hofstra,Hofstra,13,0,R64,2026
tennessee,Tennessee,6,0,R64,2026
miami-oh,Miami (OH),11,0,R64,2026
virginia,Virginia,3,0,R64,2026
wright-state,Wright State,14,0,R64,2026
kentucky,Kentucky,7,0,R64,2026
santa-clara,Santa Clara,10,0,R64,2026
iowa-state,Iowa State,2,0,R64,2026
tennessee-state,Tennessee State,15,0,R64,2026
florida,Florida,1,0,R64,2026
prairie-view,Prairie View A&M,16,0,R64,2026
clemson,Clemson,8,0,R64,2026
iowa,Iowa,9,0,R64,2026
vanderbilt,Vanderbilt,5,0,R64,2026
mcneese-state,McNeese,12,0,R64,2026
nebraska,Nebraska,4,0,R64,2026
troy,Troy,13,0,R64,2026
north-carolina,North Carolina,6,0,R64,2026
virginia-commonwealth,VCU,11,0,R64,2026
illinois,Illinois,3,0,R64,2026
pennsylvania,Penn,14,0,R64,2026
saint-marys-ca,Saint Mary's,7,0,R64,2026
texas-am,Texas A&M,10,0,R64,2026
houston,Houston,2,0,R64,2026
idaho,Idaho,15,0,R64,2026
