team_abbrev,team_name,seed,wins,exit_round,year
connecticut,UConn,3,6,Champion,2011
butler,Butler,8,5,Runner-up,2011
kentucky,Kentucky,4,4,F4,2011
virginia-commonwealth,VCU,11,4,F4,2011
kansas,Kansas,1,3,E8,2011
north-carolina,UNC,2,3,E8,2011
arizona,Arizona,5,3,E8,2011
florida,Florida,2,3,E8,2011
san-diego-state,San Diego State,2,2,S16,2011
duke,Duke,1,2,S16,2011
florida-state,Florida State,10,2,S16,2011
richmond,Richmond,12,2,S16,2011
brigham-young,BYU,3,2,S16,2011
wisconsin,Wisconsin,4,2,S16,2011
ohio-state,Ohio State,1,2,S16,2011
marquette,Marquette,11,2,S16,2011
morehead-state,Morehead State,13,1,R32,2011
cincinnati,Cincinnati,6,1,R32,2011
purdue,Purdue,3,1,R32,2011
notre-dame,Notre Dame,2,1,R32,2011
pittsburgh,Pitt,1,1,R32,2011
illinois,Illinois,9,1,R32,2011
michigan,Michigan,8,1,R32,2011
west-virginia,West Virginia,5,1,R32,2011
syracuse,Syracuse,3,1,R32,2011
ucla,UCLA,7,1,R32,2011
texas,Texas,4,1,R32,2011
kansas-state,Kansas State,5,1,R32,2011
george-mason,George Mason,8,1,R32,2011
temple,Temple,7,1,R32,2011
washington,Washington,7,1,R32,2011
gonzaga,Gonzaga,11,1,R32,2011
oakland,Oakland,13,0,R64,2011
penn-state,Penn State,10,0,R64,2011
akron,Akron,15,0,R64,2011
clemson,Clemson,12,0,R64,2011
bucknell,Bucknell,14,0,R64,2011
hampton,Hampton,16,0,R64,2011
tennessee,Tennessee,9,0,R64,2011
villanova,Villanova,9,0,R64,2011
memphis,Memphis,12,0,R64,2011
missouri,Missouri,11,0,R64,2011
texas-am,Texas A&M,7,0,R64,2011
princeton,Princeton,13,0,R64,2011
long-island-university,LIU,15,0,R64,2011
saint-peters,St. Peter's,14,0,R64,2011
wofford,Wofford,14,0,R64,2011
north-carolina-asheville,UNC Asheville,16,0,R64,2011
georgia,Georgia,10,0,R64,2011
old-dominion,Old Dominion,9,0,R64,2011
utah-state,Utah State,12,0,R64,2011
belmont,Belmont,13,0,R64,2011
st-johns-ny,St. John's (NY),6,0,R64,2011
indiana-state,Indiana State,14,0,R64,2011
michigan-state,Michigan State,10,0,R64,2011
xavier,Xavier,6,0,R64,2011
california-santa-barbara,UCSB,15,0,R64,2011
texas-san-antonio,UTSA,16,0,R64,2011
boston-university,Boston University,16,0,R64,2011
nevada-las-vegas,UNLV,8,0,R64,2011
vanderbilt,Vanderbilt,5,0,R64,2011
louisville,Louisville,4,0,R64,2011
georgetown,Georgetown,6,0,R64,2011
northern-colorado,Northern Colorado,15,0,R64,2011
