team_abbrev,team_name,seed,wins,exit_round,year
villanova,Villanova,1,6,Champion,2018
michigan,Michigan,3,5,Runner-up,2018
kansas,Kansas,1,4,F4,2018
loyola-il,Loyola (IL),11,4,F4,2018
florida-state,Florida State,9,3,E8,2018
duke,Duke,2,3,E8,2018
texas-tech,Texas Tech,3,3,E8,2018
kansas-state,Kansas State,9,3,E8,2018
west-virginia,West Virginia,5,2,S16,2018
clemson,Clemson,5,2,S16,2018
gonzaga,Gonzaga,4,2,S16,2018
purdue,Purdue,2,2,S16,2018
syracuse,Syracuse,11,2,S16,2018
kentucky,Kentucky,5,2,S16,2018
nevada,Nevada,7,2,S16,2018
texas-am,Texas A&M,7,2,S16,2018
cincinnati,Cincinnati,2,1,R32,2018
xavier,Xavier,1,1,R32,2018
rhode-island,Rhode Island,7,1,R32,2018
michigan-state,Michigan State,3,1,R32,2018
buffalo,Buffalo,13,1,R32,2018
maryland-baltimore-county,UMBC,16,1,R32,2018
ohio-state,Ohio State,5,1,R32,2018
tennessee,Tennessee,3,1,R32,2018
seton-hall,Seton Hall,8,1,R32,2018
marshall,Marshall,13,1,R32,2018
florida,Florida,6,1,R32,2018
north-carolina,UNC,2,1,R32,2018
houston,Houston,6,1,R32,2018
auburn,Auburn,4,1,R32,2018
butler,Butler,10,1,R32,2018
alabama,Alabama,9,1,R32,2018
providence,Providence,10,0,R64,2018
montana,Montana,14,0,R64,2018
wright-state,Wright State,14,0,R64,2018
texas,Texas,10,0,R64,2018
georgia-state,Georgia State,15,0,R64,2018
san-diego-state,San Diego State,11,0,R64,2018
texas-southern,Texas Southern,16,0,R64,2018
north-carolina-greensboro,UNC Greensboro,13,0,R64,2018
missouri,Missouri,8,0,R64,2018
south-dakota-state,South Dakota State,12,0,R64,2018
virginia,Virginia,1,0,R64,2018
miami-fl,Miami (FL),6,0,R64,2018
north-carolina-state,NC State,9,0,R64,2018
virginia-tech,Virginia Tech,8,0,R64,2018
murray-state,Murray State,12,0,R64,2018
wichita-state,Wichita State,4,0,R64,2018
st-bonaventure,St. Bonaventure,11,0,R64,2018
stephen-f-austin,Stephen F. Austin,14,0,R64,2018
arkansas,Arkansas,7,0,R64,2018
cal-state-fullerton,Cal State Fullerton,15,0,R64,2018
pennsylvania,Penn,16,0,R64,2018
new-mexico-state,New Mexico State,12,0,R64,2018
arizona,Arizona,4,0,R64,2018
college-of-charleston,College of Charleston,13,0,R64,2018
texas-christian,TCU,6,0,R64,2018
bucknell,Bucknell,14,0,R64,2018
oklahoma,Oklahoma,10,0,R64,2018
iona,Iona,15,0,R64,2018
radford,Radford,16,0,R64,2018
creighton,Creighton,8,0,R64,2018
davidson,Davidson,12,0,R64,2018
lipscomb,Lipscomb,15,0,R64,2018
