team_abbrev,team_name,seed,wins,exit_round,year
connecticut,UConn,7,6,Champion,2014
kentucky,Kentucky,8,5,Runner-up,2014
florida,Florida,1,4,F4,2014
wisconsin,Wisconsin,2,4,F4,2014
arizona,Arizona,1,3,E8,2014
michigan-state,Michigan State,4,3,E8,2014
dayton,Dayton,11,3,E8,2014
michigan,Michigan,2,3,E8,2014
baylor,Baylor,6,2,S16,2014
san-diego-state,San Diego State,4,2,S16,2014
stanford,Stanford,10,2,S16,2014
ucla,UCLA,4,2,S16,2014
tennessee,Tennessee,11,2,S16,2014
louisville,Louisville,4,2,S16,2014
virginia,Virginia,1,2,S16,2014
iowa-state,Iowa State,3,2,S16,2014
kansas,Kansas,2,1,R32,2014
gonzaga,Gonzaga,8,1,R32,2014
north-dakota-state,North Dakota State,12,1,R32,2014
stephen-f-austin,Stephen F. Austin,12,1,R32,2014
texas,Texas,7,1,R32,2014
mercer,Mercer,14,1,R32,2014
harvard,Harvard,12,1,R32,2014
wichita-state,Wichita State,1,1,R32,2014
pittsburgh,Pitt,9,1,R32,2014
creighton,Creighton,3,1,R32,2014
north-carolina,UNC,6,1,R32,2014
oregon,Oregon,7,1,R32,2014
saint-louis,Saint Louis,5,1,R32,2014
syracuse,Syracuse,3,1,R32,2014
villanova,Villanova,2,1,R32,2014
memphis,Memphis,8,1,R32,2014
weber-state,Weber State,16,0,R64,2014
eastern-kentucky,Eastern Kentucky,15,0,R64,2014
milwaukee,Milwaukee,15,0,R64,2014
oklahoma-state,Oklahoma State,9,0,R64,2014
oklahoma,Oklahoma,5,0,R64,2014
delaware,Delaware,13,0,R64,2014
new-mexico-state,New Mexico State,13,0,R64,2014
george-washington,George Washington,9,0,R64,2014
nebraska,Nebraska,11,0,R64,2014
louisiana-lafayette,Louisiana,14,0,R64,2014
brigham-young,BYU,10,0,R64,2014
cincinnati,Cincinnati,5,0,R64,2014
tulsa,Tulsa,13,0,R64,2014
new-mexico,New Mexico,7,0,R64,2014
duke,Duke,3,0,R64,2014
cal-poly,Cal Poly,16,0,R64,2014
kansas-state,Kansas State,9,0,R64,2014
north-carolina-state,NC State,12,0,R64,2014
saint-josephs,St. Joseph's,10,0,R64,2014
manhattan,Manhattan,13,0,R64,2014
massachusetts,UMass,6,0,R64,2014
north-carolina-central,North Carolina Central,14,0,R64,2014
arizona-state,Arizona State,10,0,R64,2014
western-michigan,Western Michigan,14,0,R64,2014
wofford,Wofford,15,0,R64,2014
coastal-carolina,Coastal Carolina,16,0,R64,2014
albany-ny,Albany (NY),16,0,R64,2014
colorado,Colorado,8,0,R64,2014
virginia-commonwealth,VCU,5,0,R64,2014
providence,Providence,11,0,R64,2014
ohio-state,Ohio State,6,0,R64,2014
american,American,15,0,R64,2014
