team_abbrev,team_name,seed,wins,exit_round,year
connecticut,UConn,4,6,Champion,2023
san-diego-state,San Diego State,5,5,Runner-up,2023
florida-atlantic,Florida Atlantic,9,4,F4,2023
miami-fl,Miami (FL),5,4,F4,2023
texas,Texas,2,3,E8,2023
creighton,Creighton,6,3,E8,2023
kansas-state,Kansas State,3,3,E8,2023
gonzaga,Gonzaga,3,3,E8,2023
alabama,Alabama,1,2,S16,2023
houston,Houston,1,2,S16,2023
arkansas,Arkansas,8,2,S16,2023
xavier,Xavier,3,2,S16,2023
princeton,Princeton,15,2,S16,2023
michigan-state,Michigan State,7,2,S16,2023
ucla,UCLA,2,2,S16,2023
tennessee,Tennessee,4,2,S16,2023
missouri,Missouri,7,1,R32,2023
northwestern,Northwestern,7,1,R32,2023
fairleigh-dickinson,FDU,16,1,R32,2023
kansas,Kansas,1,1,R32,2023
penn-state,Penn State,10,1,R32,2023
duke,Duke,5,1,R32,2023
pittsburgh,Pitt,11,1,R32,2023
saint-marys-ca,Saint Mary's,5,1,R32,2023
marquette,Marquette,2,1,R32,2023
indiana,Indiana,4,1,R32,2023
baylor,Baylor,3,1,R32,2023
kentucky,Kentucky,6,1,R32,2023
auburn,Auburn,9,1,R32,2023
furman,Furman,13,1,R32,2023
maryland,Maryland,8,1,R32,2023
texas-christian,TCU,6,1,R32,2023
arizona,Arizona,2,0,R64,2023
utah-state,Utah State,10,0,R64,2023
virginia-commonwealth,VCU,12,0,R64,2023
howard,Howard,16,0,R64,2023
illinois,Illinois,9,0,R64,2023
iona,Iona,13,0,R64,2023
arizona-state,Arizona State,11,0,R64,2023
grand-canyon,Grand Canyon,14,0,R64,2023
boise-state,Boise State,10,0,R64,2023
california-santa-barbara,UCSB,14,0,R64,2023
purdue,Purdue,1,0,R64,2023
north-carolina-state,NC State,11,0,R64,2023
iowa,Iowa,8,0,R64,2023
memphis,Memphis,8,0,R64,2023
oral-roberts,Oral Roberts,12,0,R64,2023
louisiana-lafayette,Louisiana,13,0,R64,2023
providence,Providence,11,0,R64,2023
montana-state,Montana State,14,0,R64,2023
southern-california,USC,10,0,R64,2023
vermont,Vermont,15,0,R64,2023
northern-kentucky,Northern Kentucky,16,0,R64,2023
drake,Drake,12,0,R64,2023
virginia,Virginia,4,0,R64,2023
kent-state,Kent State,13,0,R64,2023
iowa-state,Iowa State,6,0,R64,2023
kennesaw-state,Kennesaw State,14,0,R64,2023
texas-am,Texas A&M,7,0,R64,2023
colgate,Colgate,15,0,R64,2023
texas-am-corpus-christi,Texas A&M-Corpus Christi,16,0,R64,2023
west-virginia,West Virginia,9,0,R64,2023
college-of-charleston,College of Charleston,12,0,R64,2023
north-carolina-asheville,UNC Asheville,15,0,R64,2023
