team_abbrev,team_name,seed,wins,exit_round,year
kansas,Kansas,1,6,Champion,2022
north-carolina,UNC,8,5,Runner-up,2022
villanova,Villanova,2,4,F4,2022
duke,Duke,2,4,F4,2022
miami-fl,Miami (FL),10,3,E8,2022
houston,Houston,5,3,E8,2022
arkansas,Arkansas,4,3,E8,2022
saint-peters,St. Peter's,15,3,E8,2022
gonzaga,Gonzaga,1,2,S16,2022
providence,Providence,4,2,S16,2022
michigan,Michigan,11,2,S16,2022
arizona,Arizona,1,2,S16,2022
purdue,Purdue,3,2,S16,2022
ucla,UCLA,4,2,S16,2022
texas-tech,Texas Tech,3,2,S16,2022
iowa-state,Iowa State,11,2,S16,2022
memphis,Memphis,9,1,R32,2022
wisconsin,Wisconsin,3,1,R32,2022
ohio-state,Ohio State,7,1,R32,2022
new-mexico-state,New Mexico State,12,1,R32,2022
tennessee,Tennessee,3,1,R32,2022
notre-dame,Notre Dame,11,1,R32,2022
illinois,Illinois,4,1,R32,2022
texas-christian,TCU,9,1,R32,2022
auburn,Auburn,2,1,R32,2022
michigan-state,Michigan State,7,1,R32,2022
baylor,Baylor,1,1,R32,2022
murray-state,Murray State,7,1,R32,2022
creighton,Creighton,9,1,R32,2022
saint-marys-ca,Saint Mary's,5,1,R32,2022
richmond,Richmond,12,1,R32,2022
texas,Texas,6,1,R32,2022
georgia-state,Georgia State,16,0,R64,2022
boise-state,Boise State,8,0,R64,2022
yale,Yale,14,0,R64,2022
connecticut,UConn,5,0,R64,2022
virginia-tech,Virginia Tech,11,0,R64,2022
colgate,Colgate,14,0,R64,2022
vermont,Vermont,13,0,R64,2022
delaware,Delaware,15,0,R64,2022
akron,Akron,13,0,R64,2022
indiana,Indiana,12,0,R64,2022
montana-state,Montana State,14,0,R64,2022
davidson,Davidson,10,0,R64,2022
marquette,Marquette,9,0,R64,2022
alabama,Alabama,6,0,R64,2022
loyola-il,Loyola (IL),10,0,R64,2022
san-francisco,San Francisco,10,0,R64,2022
iowa,Iowa,5,0,R64,2022
louisiana-state,LSU,6,0,R64,2022
south-dakota-state,South Dakota State,13,0,R64,2022
jacksonville-state,Jacksonville State,15,0,R64,2022
norfolk-state,Norfolk State,16,0,R64,2022
wright-state,Wright State,16,0,R64,2022
seton-hall,Seton Hall,8,0,R64,2022
alabama-birmingham,UAB,12,0,R64,2022
southern-california,USC,7,0,R64,2022
chattanooga,Chattanooga,13,0,R64,2022
colorado-state,Colorado State,6,0,R64,2022
san-diego-state,San Diego State,8,0,R64,2022
texas-southern,Texas Southern,16,0,R64,2022
longwood,Longwood,14,0,R64,2022
kentucky,Kentucky,2,0,R64,2022
cal-state-fullerton,Cal State Fullerton,15,0,R64,2022
