team_abbrev,team_name,seed,wins,exit_round,year
north-carolina,UNC,1,6,Champion,2017
gonzaga,Gonzaga,1,5,Runner-up,2017
oregon,Oregon,3,4,F4,2017
south-carolina,South Carolina,7,4,F4,2017
kentucky,Kentucky,2,3,E8,2017
florida,Florida,4,3,E8,2017
xavier,Xavier,11,3,E8,2017
kansas,Kansas,1,3,E8,2017
wisconsin,Wisconsin,8,2,S16,2017
purdue,Purdue,4,2,S16,2017
butler,Butler,4,2,S16,2017
ucla,UCLA,3,2,S16,2017
michigan,Michigan,7,2,S16,2017
arizona,Arizona,2,2,S16,2017
baylor,Baylor,3,2,S16,2017
west-virginia,West Virginia,4,2,S16,2017
florida-state,Florida State,3,1,R32,2017
wichita-state,Wichita State,10,1,R32,2017
northwestern,Northwestern,8,1,R32,2017
cincinnati,Cincinnati,6,1,R32,2017
notre-dame,Notre Dame,5,1,R32,2017
middle-tennessee,Middle Tennessee,12,1,R32,2017
arkansas,Arkansas,8,1,R32,2017
louisville,Louisville,2,1,R32,2017
saint-marys-ca,Saint Mary's,7,1,R32,2017
villanova,Villanova,1,1,R32,2017
rhode-island,Rhode Island,11,1,R32,2017
iowa-state,Iowa State,5,1,R32,2017
virginia,Virginia,5,1,R32,2017
southern-california,USC,11,1,R32,2017
michigan-state,Michigan State,9,1,R32,2017
duke,Duke,2,1,R32,2017
marquette,Marquette,10,0,R64,2017
south-dakota-state,South Dakota State,16,0,R64,2017
new-mexico-state,New Mexico State,14,0,R64,2017
vanderbilt,Vanderbilt,9,0,R64,2017
princeton,Princeton,12,0,R64,2017
southern-methodist,SMU,6,0,R64,2017
bucknell,Bucknell,13,0,R64,2017
maryland,Maryland,6,0,R64,2017
east-tennessee-state,ETSU,13,0,R64,2017
north-carolina-wilmington,UNC Wilmington,12,0,R64,2017
florida-gulf-coast,Florida Gulf Coast,14,0,R64,2017
virginia-commonwealth,VCU,10,0,R64,2017
virginia-tech,Virginia Tech,9,0,R64,2017
northern-kentucky,Northern Kentucky,15,0,R64,2017
troy,Troy,15,0,R64,2017
iona,Iona,14,0,R64,2017
nevada,Nevada,12,0,R64,2017
creighton,Creighton,6,0,R64,2017
oklahoma-state,Oklahoma State,10,0,R64,2017
vermont,Vermont,13,0,R64,2017
jacksonville-state,Jacksonville State,15,0,R64,2017
mount-st-marys,Mount St. Mary's,16,0,R64,2017
texas-southern,Texas Southern,16,0,R64,2017
seton-hall,Seton Hall,9,0,R64,2017
dayton,Dayton,7,0,R64,2017
minnesota,Minnesota,5,0,R64,2017
winthrop,Winthrop,13,0,R64,2017
miami-fl,Miami (FL),8,0,R64,2017
kansas-state,Kansas State,11,0,R64,2017
california-davis,UC-Davis,16,0,R64,2017
kent-state,Kent State,14,0,R64,2017
north-dakota,North Dakota,15,0,R64,2017
