team_abbrev,team_name,seed,wins,exit_round,year
villanova,Villanova,2,6,Champion,2016
north-carolina,UNC,1,5,Runner-up,2016
oklahoma,Oklahoma,2,4,F4,2016
syracuse,Syracuse,10,4,F4,2016
notre-dame,Notre Dame,6,3,E8,2016
oregon,Oregon,1,3,E8,2016
virginia,Virginia,1,3,E8,2016
kansas,Kansas,1,3,E8,2016
maryland,Maryland,5,2,S16,2016
texas-am,Texas A&M,3,2,S16,2016
indiana,Indiana,5,2,S16,2016
duke,Duke,4,2,S16,2016
iowa-state,Iowa State,4,2,S16,2016
gonzaga,Gonzaga,11,2,S16,2016
miami-fl,Miami (FL),3,2,S16,2016
wisconsin,Wisconsin,7,2,S16,2016
utah,Utah,3,1,R32,2016
wichita-state,Wichita State,11,1,R32,2016
iowa,Iowa,7,1,R32,2016
hawaii,Hawaii,13,1,R32,2016
connecticut,UConn,9,1,R32,2016
providence,Providence,9,1,R32,2016
saint-josephs,St. Joseph's,8,1,R32,2016
middle-tennessee,Middle Tennessee,15,1,R32,2016
stephen-f-austin,Stephen F. Austin,14,1,R32,2016
xavier,Xavier,2,1,R32,2016
northern-iowa,Northern Iowa,11,1,R32,2016
arkansas-little-rock,Little Rock,12,1,R32,2016
kentucky,Kentucky,4,1,R32,2016
virginia-commonwealth,VCU,10,1,R32,2016
butler,Butler,9,1,R32,2016
yale,Yale,12,1,R32,2016
texas,Texas,6,0,R64,2016
holy-cross,Holy Cross,16,0,R64,2016
north-carolina-wilmington,UNC Wilmington,13,0,R64,2016
cincinnati,Cincinnati,9,0,R64,2016
north-carolina-asheville,UNC Asheville,15,0,R64,2016
southern-california,USC,8,0,R64,2016
temple,Temple,10,0,R64,2016
baylor,Baylor,5,0,R64,2016
green-bay,Green Bay,14,0,R64,2016
oregon-state,Oregon State,7,0,R64,2016
buffalo,Buffalo,14,0,R64,2016
stony-brook,Stony Brook,13,0,R64,2016
arizona,Arizona,6,0,R64,2016
california,California,4,0,R64,2016
west-virginia,West Virginia,3,0,R64,2016
pittsburgh,Pitt,10,0,R64,2016
weber-state,Weber State,15,0,R64,2016
hampton,Hampton,16,0,R64,2016
texas-tech,Texas Tech,8,0,R64,2016
purdue,Purdue,5,0,R64,2016
iona,Iona,13,0,R64,2016
seton-hall,Seton Hall,6,0,R64,2016
fresno-state,Fresno State,14,0,R64,2016
dayton,Dayton,7,0,R64,2016
chattanooga,Chattanooga,12,0,R64,2016
michigan-state,Michigan State,2,0,R64,2016
florida-gulf-coast,Florida Gulf Coast,16,0,R64,2016
austin-peay,Austin Peay,16,0,R64,2016
colorado,Colorado,8,0,R64,2016
michigan,Michigan,11,0,R64,2016
south-dakota-state,South Dakota State,12,0,R64,2016
cal-state-bakersfield,Cal State Bakersfield,15,0,R64,2016
