team_abbrev,team_name,seed,wins,exit_round,year
kentucky,Kentucky,1,6,Champion,2012
kansas,Kansas,2,5,Runner-up,2012
ohio-state,Ohio State,2,4,F4,2012
louisville,Louisville,4,4,F4,2012
florida,Florida,7,3,E8,2012
baylor,Baylor,3,3,E8,2012
north-carolina,UNC,1,3,E8,2012
syracuse,Syracuse,1,3,E8,2012
cincinnati,Cincinnati,6,2,S16,2012
michigan-state,Michigan State,1,2,S16,2012
ohio,Ohio,13,2,S16,2012
indiana,Indiana,4,2,S16,2012
xavier,Xavier,10,2,S16,2012
wisconsin,Wisconsin,4,2,S16,2012
north-carolina-state,NC State,11,2,S16,2012
marquette,Marquette,3,2,S16,2012
saint-louis,Saint Louis,9,1,R32,2012
new-mexico,New Mexico,5,1,R32,2012
purdue,Purdue,10,1,R32,2012
murray-state,Murray State,6,1,R32,2012
vanderbilt,Vanderbilt,5,1,R32,2012
colorado,Colorado,11,1,R32,2012
virginia-commonwealth,VCU,12,1,R32,2012
kansas-state,Kansas State,8,1,R32,2012
iowa-state,Iowa State,8,1,R32,2012
lehigh,Lehigh,15,1,R32,2012
norfolk-state,Norfolk State,15,1,R32,2012
creighton,Creighton,8,1,R32,2012
florida-state,Florida State,3,1,R32,2012
south-florida,South Florida,12,1,R32,2012
gonzaga,Gonzaga,7,1,R32,2012
georgetown,Georgetown,3,1,R32,2012
virginia,Virginia,10,0,R64,2012
missouri,Missouri,2,0,R64,2012
brigham-young,BYU,14,0,R64,2012
st-bonaventure,St. Bonaventure,14,0,R64,2012
colorado-state,Colorado State,11,0,R64,2012
vermont,Vermont,16,0,R64,2012
davidson,Davidson,13,0,R64,2012
southern-mississippi,Southern Miss,9,0,R64,2012
long-beach-state,Long Beach State,12,0,R64,2012
west-virginia,West Virginia,10,0,R64,2012
montana,Montana,13,0,R64,2012
memphis,Memphis,8,0,R64,2012
long-island-university,LIU,16,0,R64,2012
loyola-md,Loyola (MD),15,0,R64,2012
belmont,Belmont,14,0,R64,2012
duke,Duke,2,0,R64,2012
texas,Texas,11,0,R64,2012
harvard,Harvard,12,0,R64,2012
detroit-mercy,Detroit Mercy,15,0,R64,2012
north-carolina-asheville,UNC Asheville,16,0,R64,2012
western-kentucky,Western Kentucky,16,0,R64,2012
san-diego-state,San Diego State,6,0,R64,2012
connecticut,UConn,9,0,R64,2012
michigan,Michigan,4,0,R64,2012
saint-marys-ca,Saint Mary's,7,0,R64,2012
new-mexico-state,New Mexico State,13,0,R64,2012
nevada-las-vegas,UNLV,6,0,R64,2012
temple,Temple,5,0,R64,2012
alabama,Alabama,9,0,R64,2012
south-dakota-state,South Dakota State,14,0,R64,2012
notre-dame,Notre Dame,7,0,R64,2012
wichita-state,Wichita State,5,0,R64,2012
