team_abbrev,team_name,seed,wins,exit_round,year
duke,Duke,1,6,Champion,2015
wisconsin,Wisconsin,1,5,Runner-up,2015
kentucky,Kentucky,1,4,F4,2015
michigan-state,Michigan State,7,4,F4,2015
gonzaga,Gonzaga,2,3,E8,2015
notre-dame,Notre Dame,3,3,E8,2015
louisville,Louisville,4,3,E8,2015
arizona,Arizona,2,3,E8,2015
utah,Utah,5,2,S16,2015
west-virginia,West Virginia,5,2,S16,2015
ucla,UCLA,11,2,S16,2015
north-carolina-state,NC State,8,2,S16,2015
wichita-state,Wichita State,7,2,S16,2015
oklahoma,Oklahoma,3,2,S16,2015
north-carolina,UNC,4,2,S16,2015
xavier,Xavier,6,2,S16,2015
oregon,Oregon,8,1,R32,2015
georgia-state,Georgia State,14,1,R32,2015
iowa,Iowa,7,1,R32,2015
alabama-birmingham,UAB,14,1,R32,2015
arkansas,Arkansas,5,1,R32,2015
georgetown,Georgetown,4,1,R32,2015
san-diego-state,San Diego State,8,1,R32,2015
kansas,Kansas,2,1,R32,2015
ohio-state,Ohio State,10,1,R32,2015
villanova,Villanova,1,1,R32,2015
virginia,Virginia,2,1,R32,2015
butler,Butler,6,1,R32,2015
northern-iowa,Northern Iowa,5,1,R32,2015
maryland,Maryland,4,1,R32,2015
cincinnati,Cincinnati,8,1,R32,2015
dayton,Dayton,11,1,R32,2015
providence,Providence,6,0,R64,2015
georgia,Georgia,10,0,R64,2015
coastal-carolina,Coastal Carolina,16,0,R64,2015
albany-ny,Albany (NY),14,0,R64,2015
oklahoma-state,Oklahoma State,9,0,R64,2015
wofford,Wofford,12,0,R64,2015
texas,Texas,11,0,R64,2015
harvard,Harvard,13,0,R64,2015
north-dakota-state,North Dakota State,15,0,R64,2015
mississippi,Ole Miss,11,0,R64,2015
baylor,Baylor,3,0,R64,2015
wyoming,Wyoming,12,0,R64,2015
virginia-commonwealth,VCU,7,0,R64,2015
louisiana-state,LSU,9,0,R64,2015
california-irvine,UC-Irvine,13,0,R64,2015
davidson,Davidson,10,0,R64,2015
northeastern,Northeastern,14,0,R64,2015
belmont,Belmont,15,0,R64,2015
hampton,Hampton,16,0,R64,2015
iowa-state,Iowa State,3,0,R64,2015
southern-methodist,SMU,6,0,R64,2015
eastern-washington,Eastern Washington,13,0,R64,2015
purdue,Purdue,9,0,R64,2015
stephen-f-austin,Stephen F. Austin,12,0,R64,2015
buffalo,Buffalo,12,0,R64,2015
st-johns-ny,St. John's (NY),9,0,R64,2015
robert-morris,Robert Morris,16,0,R64,2015
lafayette,Lafayette,16,0,R64,2015
new-mexico-state,New Mexico State,15,0,R64,2015
valparaiso,Valparaiso,13,0,R64,2015
indiana,Indiana,10,0,R64,2015
texas-southern,Texas Southern,15,0,R64,2015
