team_abbrev,team_name,seed,wins,exit_round,year
virginia,Virginia,1,6,Champion,2019
texas-tech,Texas Tech,3,5,Runner-up,2019
michigan-state,Michigan State,2,4,F4,2019
auburn,Auburn,5,4,F4,2019
gonzaga,Gonzaga,1,3,E8,2019
purdue,Purdue,3,3,E8,2019
kentucky,Kentucky,2,3,E8,2019
duke,Duke,1,3,E8,2019
oregon,Oregon,12,2,S16,2019
virginia-tech,Virginia Tech,4,2,S16,2019
louisiana-state,LSU,3,2,S16,2019
michigan,Michigan,2,2,S16,2019
florida-state,Florida State,4,2,S16,2019
tennessee,Tennessee,2,2,S16,2019
north-carolina,UNC,1,2,S16,2019
houston,Houston,3,2,S16,2019
wofford,Wofford,7,1,R32,2019
liberty,Liberty,12,1,R32,2019
baylor,Baylor,9,1,R32,2019
maryland,Maryland,6,1,R32,2019
central-florida,UCF,9,1,R32,2019
oklahoma,Oklahoma,9,1,R32,2019
california-irvine,UC-Irvine,13,1,R32,2019
villanova,Villanova,6,1,R32,2019
iowa,Iowa,10,1,R32,2019
murray-state,Murray State,12,1,R32,2019
ohio-state,Ohio State,11,1,R32,2019
kansas,Kansas,4,1,R32,2019
buffalo,Buffalo,6,1,R32,2019
washington,Washington,9,1,R32,2019
minnesota,Minnesota,10,1,R32,2019
florida,Florida,10,1,R32,2019
old-dominion,Old Dominion,14,0,R64,2019
vermont,Vermont,13,0,R64,2019
marquette,Marquette,5,0,R64,2019
syracuse,Syracuse,8,0,R64,2019
fairleigh-dickinson,FDU,16,0,R64,2019
arizona-state,Arizona State,11,0,R64,2019
colgate,Colgate,15,0,R64,2019
virginia-commonwealth,VCU,8,0,R64,2019
northern-kentucky,Northern Kentucky,14,0,R64,2019
nevada,Nevada,7,0,R64,2019
cincinnati,Cincinnati,7,0,R64,2019
wisconsin,Wisconsin,5,0,R64,2019
mississippi-state,Mississippi State,5,0,R64,2019
saint-marys-ca,Saint Mary's,11,0,R64,2019
yale,Yale,14,0,R64,2019
louisville,Louisville,7,0,R64,2019
saint-louis,Saint Louis,13,0,R64,2019
bradley,Bradley,15,0,R64,2019
iona,Iona,16,0,R64,2019
utah-state,Utah State,8,0,R64,2019
new-mexico-state,New Mexico State,12,0,R64,2019
northeastern,Northeastern,13,0,R64,2019
iowa-state,Iowa State,6,0,R64,2019
georgia-state,Georgia State,14,0,R64,2019
seton-hall,Seton Hall,10,0,R64,2019
abilene-christian,Abilene Christian,15,0,R64,2019
north-dakota-state,North Dakota State,16,0,R64,2019
gardner-webb,Gardner-Webb,16,0,R64,2019
mississippi,Ole Miss,8,0,R64,2019
belmont,Belmont,11,0,R64,2019
kansas-state,Kansas State,4,0,R64,2019
montana,Montana,15,0,R64,2019
