rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
18,18,2022-01-22,@,Boston College,REG (Conf),L,63,68,,23,53,0.434,7,17,0.412,16,36,0.444,0.5,10,11,0.909,8,14,22,13,7,3,6,18,25,52,0.481,4,12,0.333,21,40,.525,0.519,14,19,0.737,13,21,34,15,3,5,10,14,0,1,0,virginia-tech,2022
19,19,2022-01-24,@,North Carolina,REG (Conf),L,68,78,,27,58,0.466,7,18,0.389,20,40,0.5,0.526,7,11,0.636,3,27,30,13,2,2,9,21,23,63,0.365,10,25,0.4,13,38,.342,0.444,22,26,0.846,15,27,42,13,6,4,7,15,0,1,0,virginia-tech,2022
20,20,2022-01-26,,Miami (FL),REG (Conf),L,75,78,,25,50,0.5,13,26,0.5,12,24,0.5,0.63,12,15,0.8,8,19,27,20,2,6,14,9,29,53,0.547,11,18,0.611,18,35,.514,0.651,9,10,0.9,4,17,21,14,10,4,10,13,0,1,0,virginia-tech,2022
21,21,2022-01-29,@,Florida State,REG (Conf),W,85,72,,32,52,0.615,18,25,0.72,14,27,0.519,0.788,3,5,0.6,3,13,16,16,6,2,10,16,26,52,0.5,5,13,0.385,21,39,.538,0.548,15,17,0.882,8,14,22,16,7,3,14,9,1,1,0,virginia-tech,2022
22,22,2022-02-02,,Georgia Tech,REG (Conf),W,81,66,,28,53,0.528,8,20,0.4,20,33,0.606,0.604,17,22,0.773,9,23,32,16,4,3,13,11,24,60,0.4,10,25,0.4,14,35,.400,0.483,8,8,1.0,7,18,25,8,7,2,12,23,1,1,0,virginia-tech,2022
23,23,2022-02-05,@,Pittsburgh,REG (Conf),W,76,71,,26,45,0.578,14,26,0.538,12,19,0.632,0.733,10,16,0.625,6,17,23,15,12,1,16,13,25,44,0.568,9,18,0.5,16,26,.615,0.67,12,14,0.857,2,16,18,11,11,1,15,14,1,1,0,virginia-tech,2022
24,24,2022-02-07,,Pittsburgh,REG (Conf),W,74,47,,29,55,0.527,13,27,0.481,16,28,0.571,0.645,3,6,0.5,9,26,35,20,6,1,8,12,15,40,0.375,10,20,0.5,5,20,.250,0.5,7,9,0.778,0,18,18,11,3,6,11,14,1,1,0,virginia-tech,2022
25,25,2022-02-12,,Syracuse,REG (Conf),W,71,59,,23,60,0.383,8,27,0.296,15,33,0.455,0.45,17,21,0.81,8,30,38,20,6,5,4,9,24,64,0.375,10,27,0.37,14,37,.378,0.453,1,4,0.25,9,29,38,9,2,3,10,18,1,1,0,virginia-tech,2022
26,26,2022-02-14,,Virginia,REG (Conf),W,62,53,,20,46,0.435,5,20,0.25,15,26,0.577,0.489,17,21,0.81,4,22,26,12,4,6,6,14,22,55,0.4,0,9,0.0,22,46,.478,0.4,9,12,0.75,8,22,30,9,4,2,9,18,1,1,0,virginia-tech,2022
27,27,2022-02-19,,North Carolina,REG (Conf),L,57,65,,24,64,0.375,5,26,0.192,19,38,0.5,0.414,4,6,0.667,6,21,27,11,6,1,9,16,22,49,0.449,8,22,0.364,14,27,.519,0.531,13,15,0.867,4,32,36,13,4,6,14,11,0,1,0,virginia-tech,2022
28,28,2022-02-23,@,Georgia Tech,REG (Conf),W,62,58,,23,59,0.39,6,24,0.25,17,35,0.486,0.441,10,14,0.714,11,23,34,13,8,2,13,13,23,53,0.434,4,13,0.308,19,40,.475,0.472,8,11,0.727,6,20,26,10,7,4,11,14,1,1,0,virginia-tech,2022
29,29,2022-02-26,@,Miami (FL),REG (Conf),W,71,70,,29,50,0.58,7,23,0.304,22,27,0.815,0.65,6,6,1.0,8,22,30,21,4,4,19,15,28,56,0.5,6,16,0.375,22,40,.550,0.554,8,13,0.615,7,13,20,16,16,1,9,12,1,1,0,virginia-tech,2022
30,30,2022-03-01,,Louisville,REG (Conf),W,75,43,,28,60,0.467,12,28,0.429,16,32,0.5,0.567,7,12,0.583,12,24,36,14,10,5,6,12,17,47,0.362,6,19,0.316,11,28,.393,0.426,3,7,0.429,6,20,26,11,5,4,17,13,1,1,0,virginia-tech,2022
31,31,2022-03-05,@,Clemson,REG (Conf),L,59,63,,19,51,0.373,9,30,0.3,10,21,0.476,0.461,12,13,0.923,8,21,29,9,5,4,13,16,21,48,0.438,8,20,0.4,13,28,.464,0.521,13,16,0.813,4,21,25,13,8,1,12,16,0,1,0,virginia-tech,2022
32,32,2022-03-09,N,Clemson,CTOURN,W,76,75,OT,26,55,0.473,12,28,0.429,14,27,0.519,0.582,12,20,0.6,8,27,35,14,3,5,14,19,28,60,0.467,8,23,0.348,20,37,.541,0.533,11,16,0.688,5,21,26,16,7,2,5,16,1,0,0,virginia-tech,2022
33,33,2022-03-10,N,Notre Dame,CTOURN,W,87,80,,31,54,0.574,7,19,0.368,24,35,0.686,0.639,18,24,0.75,2,18,20,11,8,3,6,18,27,51,0.529,7,19,0.368,20,32,.625,0.598,19,22,0.864,4,22,26,15,3,1,11,17,1,0,0,virginia-tech,2022
34,34,2022-03-11,N,North Carolina,CTOURN,W,72,59,,25,57,0.439,9,20,0.45,16,37,0.432,0.518,13,14,0.929,5,27,32,14,5,3,6,15,22,60,0.367,3,26,0.115,19,34,.559,0.392,12,14,0.857,10,25,35,14,4,2,11,15,1,0,0,virginia-tech,2022
35,35,2022-03-12,N,Duke,CTOURN,W,82,67,,32,64,0.5,10,22,0.455,22,42,0.524,0.578,8,12,0.667,11,23,34,18,7,0,8,18,24,49,0.49,4,20,0.2,20,29,.690,0.531,15,23,0.652,3,19,22,9,5,6,10,15,1,0,0,virginia-tech,2022
36,36,2022-03-18,N,Texas,ROUND-64,L,73,81,,23,47,0.489,4,12,0.333,19,35,0.543,0.532,23,26,0.885,4,21,25,11,4,2,13,19,27,57,0.474,10,19,0.526,17,38,.447,0.561,17,22,0.773,8,17,25,17,9,3,7,22,0,0,0,virginia-tech,2022
