rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,57,1,2012-11-11,Louisville,,Manhattan,REG (Non-Conf),W 79-51,*,31,8,18,0.444,4,13,0.308,4,5,0.8,0.556,3,4,0.75,0,1,1,2,5,0,2,2,23,17.1,H,1,1,russ-smith-1,Russ Smith,2013,louisville
2,58,2,2012-11-15,Louisville,,Samford,REG (Non-Conf),W 80-54,,23,7,14,0.5,4,7,0.571,3,7,0.429,0.643,0,0,,0,0,0,0,3,0,3,3,18,9.8,H,1,1,russ-smith-1,Russ Smith,2013,louisville
3,59,3,2012-11-18,Louisville,,Miami (OH),REG (Non-Conf),W 80-39,*,20,8,15,0.533,5,7,0.714,3,8,0.375,0.7,2,2,1.0,0,0,0,0,0,0,1,3,23,13.5,H,1,1,russ-smith-1,Russ Smith,2013,louisville
4,60,4,2012-11-22,Louisville,N,Northern Iowa,REG (Non-Conf),W 51-46,*,32,6,14,0.429,1,3,0.333,5,11,0.455,0.464,3,3,1.0,2,3,5,5,4,0,6,2,16,11.6,N,1,1,russ-smith-1,Russ Smith,2013,louisville
5,61,5,2012-11-23,Louisville,N,Missouri,REG (Non-Conf),W 84-61,*,35,7,17,0.412,1,7,0.143,6,10,0.6,0.441,3,3,1.0,2,4,6,3,6,0,3,3,18,15.4,N,1,1,russ-smith-1,Russ Smith,2013,louisville
6,62,6,2012-11-24,Louisville,N,Duke,REG (Non-Conf),L 71-76,*,30,7,19,0.368,1,4,0.25,6,15,0.4,0.395,2,5,0.4,1,6,7,1,0,0,4,3,17,3.3,N,0,1,russ-smith-1,Russ Smith,2013,louisville
7,63,7,2012-12-01,Louisville,,Illinois State,REG (Non-Conf),W 69-66,*,35,6,17,0.353,1,5,0.2,5,12,0.417,0.382,11,14,0.786,0,0,0,3,3,0,5,2,24,12.6,H,1,1,russ-smith-1,Russ Smith,2013,louisville
8,64,8,2012-12-04,Louisville,@,College of Charleston,REG (Non-Conf),W 80-38,*,25,3,9,0.333,0,1,0.0,3,8,0.375,0.333,7,8,0.875,0,1,1,4,4,0,2,3,13,11.4,A,1,1,russ-smith-1,Russ Smith,2013,louisville
9,65,9,2012-12-08,Louisville,,Kansas City,REG (Non-Conf),W 99-47,*,27,12,18,0.667,3,5,0.6,9,13,0.692,0.75,4,7,0.571,1,6,7,5,5,0,2,2,31,30.2,H,1,1,russ-smith-1,Russ Smith,2013,louisville
10,66,10,2012-12-15,Louisville,@,Memphis,REG (Non-Conf),W 87-78,*,26,3,11,0.273,1,6,0.167,2,5,0.4,0.318,12,12,1.0,1,2,3,4,1,0,1,3,19,15.4,A,1,1,russ-smith-1,Russ Smith,2013,louisville
