rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,84,1,2021-11-09,Kansas,N,Michigan State,REG (Non-Conf),W 87-74,*,36,9,17,0.529,3,6,0.5,6,11,0.545,0.618,8,8,1.0,0,2,2,1,2,0,0,2,29,23.2,N,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
2,85,2,2021-11-12,Kansas,,Tarleton State,REG (Non-Conf),W 88-62,*,35,11,16,0.688,3,7,0.429,8,9,0.889,0.781,0,1,0.0,0,6,6,1,0,1,0,0,25,21.0,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
3,86,3,2021-11-18,Kansas,,Stony Brook,REG (Non-Conf),W 88-59,*,30,10,19,0.526,4,11,0.364,6,8,0.75,0.632,1,1,1.0,1,3,4,3,2,0,2,0,25,19.4,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
4,87,4,2021-11-25,Kansas,N,North Texas,REG (Non-Conf),W 71-59,*,33,6,12,0.5,2,3,0.667,4,9,0.444,0.583,4,4,1.0,0,2,2,2,0,0,1,1,18,12.6,N,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
5,88,5,2021-11-26,Kansas,N,Dayton,REG (Non-Conf),L 73-74,*,33,8,16,0.5,2,6,0.333,6,10,0.6,0.563,3,7,0.429,2,0,2,0,0,0,0,1,21,12.4,N,0,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
6,89,6,2021-11-28,Kansas,N,Iona,REG (Non-Conf),W 96-83,*,32,8,14,0.571,1,3,0.333,7,11,0.636,0.607,0,0,,3,2,5,3,2,0,2,2,17,14.4,N,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
7,90,7,2021-12-03,Kansas,@,St. John's (NY),REG (Non-Conf),W 95-75,*,35,9,16,0.563,5,9,0.556,4,7,0.571,0.719,0,0,,2,5,7,1,0,0,0,2,23,18.2,A,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
8,91,8,2021-12-07,Kansas,,UTEP,REG (Non-Conf),W 78-52,*,31,9,12,0.75,2,3,0.667,7,9,0.778,0.833,3,4,0.75,1,4,5,3,1,1,3,1,23,20.1,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
9,92,9,2021-12-11,Kansas,,Missouri,REG (Non-Conf),W 102-65,*,30,7,12,0.583,5,7,0.714,2,5,0.4,0.792,2,4,0.5,0,4,4,1,0,0,1,2,21,14.7,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
10,93,10,2021-12-18,Kansas,,Stephen F. Austin,REG (Non-Conf),W 80-72,*,39,6,14,0.429,4,9,0.444,2,5,0.4,0.571,2,3,0.667,1,4,5,1,1,1,4,0,18,10.5,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
11,94,11,2021-12-29,Kansas,,Nevada,REG (Non-Conf),W 88-61,*,33,7,12,0.583,1,3,0.333,6,9,0.667,0.625,1,2,0.5,1,6,7,2,4,0,1,1,16,16.5,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
12,95,12,2022-01-01,Kansas,,George Mason,REG (Non-Conf),W 76-67,*,36,4,14,0.286,2,7,0.286,2,7,0.286,0.357,1,1,1.0,2,5,7,1,1,0,0,1,11,7.0,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
13,96,13,2022-01-04,Kansas,@,Oklahoma State,REG (Conf),W 74-63,*,31,5,13,0.385,3,8,0.375,2,5,0.4,0.5,3,4,0.75,0,2,2,0,0,0,2,4,16,5.5,A,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
14,97,14,2022-01-08,Kansas,@,Texas Tech,REG (Conf),L 67-75,*,35,7,12,0.583,6,9,0.667,1,3,0.333,0.833,4,4,1.0,1,3,4,2,0,0,3,4,24,16.8,A,0,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
15,98,15,2022-01-11,Kansas,,Iowa State,REG (Conf),W 62-61,*,39,8,15,0.533,4,8,0.5,4,7,0.571,0.667,2,2,1.0,1,6,7,0,0,1,2,1,22,15.5,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
16,99,16,2022-01-15,Kansas,,West Virginia,REG (Conf),W 85-59,*,36,8,17,0.471,4,8,0.5,4,9,0.444,0.588,0,1,0.0,1,6,7,0,2,1,0,0,20,16.1,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
17,100,17,2022-01-18,Kansas,@,Oklahoma,REG (Conf),W 67-64,*,32,4,11,0.364,2,5,0.4,2,6,0.333,0.455,0,0,,2,3,5,1,0,0,2,3,10,3.7,A,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
18,101,18,2022-01-22,Kansas,@,Kansas State,REG (Conf),W 78-75,*,36,10,18,0.556,2,8,0.25,8,10,0.8,0.611,7,11,0.636,1,6,7,2,0,2,3,0,29,21.1,A,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
19,102,19,2022-01-24,Kansas,,Texas Tech,REG (Conf),W 94-91 (2OT),*,46,13,23,0.565,7,12,0.583,6,11,0.545,0.717,4,8,0.5,0,7,7,2,0,1,3,2,37,24.9,H,1,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
20,103,20,2022-01-29,Kansas,,Kentucky,REG (Non-Conf),L 62-80,*,36,4,14,0.286,2,6,0.333,2,8,0.25,0.357,3,4,0.75,0,2,2,3,1,0,2,2,13,5.3,H,0,1,ochai-agbaji-1,Ochai Agbaji,2022,kansas
