rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,65,1,2020-11-28,Baylor,N,Louisiana,REG (Non-Conf),W 112-82,*,28,7,13,0.538,3,5,0.6,4,8,0.5,0.654,0,0,,0,3,3,4,3,1,2,2,17,15.3,N,1,1,jared-butler-1,Jared Butler,2021,baylor
2,66,2,2020-11-29,Baylor,N,Washington,REG (Non-Conf),W 86-52,*,26,8,12,0.667,4,7,0.571,4,5,0.8,0.833,0,0,,0,3,3,5,2,1,3,3,20,17.7,N,1,1,jared-butler-1,Jared Butler,2021,baylor
3,67,3,2020-12-02,Baylor,N,Illinois,REG (Non-Conf),W 82-69,*,30,6,18,0.333,0,4,0.0,6,14,0.429,0.333,0,1,0.0,2,3,5,3,3,1,3,1,12,6.1,N,1,1,jared-butler-1,Jared Butler,2021,baylor
4,68,4,2020-12-09,Baylor,,Stephen F. Austin,REG (Non-Conf),W 83-52,*,24,3,7,0.429,2,3,0.667,1,4,0.25,0.571,4,4,1.0,0,2,2,7,1,0,3,0,12,11.8,H,1,1,jared-butler-1,Jared Butler,2021,baylor
5,69,5,2020-12-19,Baylor,@,Kansas State,REG (Conf),W 100-69,*,30,4,8,0.5,2,6,0.333,2,2,1.0,0.625,4,6,0.667,0,5,5,13,1,1,1,1,14,20.1,A,1,1,jared-butler-1,Jared Butler,2021,baylor
6,70,6,2020-12-21,Baylor,,Arkansas–Pine Bluff,REG (Non-Conf),W 99-42,*,23,6,14,0.429,1,3,0.333,5,11,0.455,0.464,1,2,0.5,0,4,4,7,2,0,1,0,14,13.3,H,1,1,jared-butler-1,Jared Butler,2021,baylor
7,71,7,2020-12-29,Baylor,,Central Arkansas,REG (Non-Conf),W 93-56,*,22,6,11,0.545,3,5,0.6,3,6,0.5,0.682,2,2,1.0,1,2,3,5,1,0,2,0,17,15.5,H,1,1,jared-butler-1,Jared Butler,2021,baylor
8,72,8,2020-12-30,Baylor,,Alcorn State,REG (Non-Conf),W 105-76,*,21,6,8,0.75,3,4,0.75,3,4,0.75,0.938,2,2,1.0,0,0,0,3,1,0,1,2,17,15.1,H,1,1,jared-butler-1,Jared Butler,2021,baylor
9,73,9,2021-01-02,Baylor,@,Iowa State,REG (Conf),W 76-65,*,35,7,15,0.467,3,9,0.333,4,6,0.667,0.567,4,5,0.8,0,1,1,5,4,1,7,2,21,13.6,A,1,1,jared-butler-1,Jared Butler,2021,baylor
10,74,10,2021-01-06,Baylor,,Oklahoma,REG (Conf),W 76-61,*,29,2,10,0.2,0,4,0.0,2,6,0.333,0.2,4,4,1.0,0,4,4,3,3,1,2,1,8,6.4,H,1,1,jared-butler-1,Jared Butler,2021,baylor
11,75,11,2021-01-09,Baylor,@,TCU,REG (Conf),W 67-49,*,39,11,17,0.647,4,8,0.5,7,9,0.778,0.765,2,4,0.5,2,6,8,4,5,0,2,3,28,27.5,A,1,1,jared-butler-1,Jared Butler,2021,baylor
12,76,12,2021-01-16,Baylor,@,Texas Tech,REG (Conf),W 68-60,*,31,2,11,0.182,2,7,0.286,0,4,0.0,0.273,1,4,0.25,0,5,5,3,4,1,7,5,7,-1.8,A,1,1,jared-butler-1,Jared Butler,2021,baylor
13,77,13,2021-01-18,Baylor,,Kansas,REG (Conf),W 77-69,*,34,10,14,0.714,7,9,0.778,3,5,0.6,0.964,3,3,1.0,0,1,1,8,1,0,4,3,30,25.9,H,1,1,jared-butler-1,Jared Butler,2021,baylor
14,78,14,2021-01-23,Baylor,@,Oklahoma State,REG (Conf),W 81-66,*,35,8,13,0.615,6,7,0.857,2,6,0.333,0.846,0,0,,0,1,1,6,1,0,2,2,22,18.8,A,1,1,jared-butler-1,Jared Butler,2021,baylor
15,79,15,2021-01-27,Baylor,,Kansas State,REG (Conf),W 107-59,*,25,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1.0,2,5,7,5,3,0,3,1,13,14.7,H,1,1,jared-butler-1,Jared Butler,2021,baylor
