rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,70,1,2010-11-12,Connecticut,,Stony Brook,REG (Non-Conf),W 79-52,*,34,6,17,0.353,1,4,0.25,5,13,0.385,0.382,5,6,0.833,2,4,6,3,2,0,1,1,18,13.4,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
2,71,2,2010-11-17,Connecticut,,Vermont,REG (Non-Conf),W 89-73,*,37,15,24,0.625,4,9,0.444,11,15,0.733,0.708,8,10,0.8,4,4,8,3,1,0,3,0,42,34.5,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
3,72,3,2010-11-22,Connecticut,N,Wichita State,REG (Non-Conf),W 83-79,*,23,8,16,0.5,1,4,0.25,7,12,0.583,0.531,14,15,0.933,1,1,2,2,3,0,0,3,31,26.8,N,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
4,73,4,2010-11-23,Connecticut,N,Michigan State,REG (Non-Conf),W 70-67,*,38,10,19,0.526,4,11,0.364,6,8,0.75,0.632,6,7,0.857,1,2,3,4,3,0,4,1,30,23.0,N,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
5,74,5,2010-11-24,Connecticut,N,Kentucky,REG (Non-Conf),W 84-67,*,38,10,17,0.588,3,4,0.75,7,13,0.538,0.676,6,6,1.0,0,2,2,6,2,0,2,1,29,25.5,N,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
6,75,6,2010-11-30,Connecticut,,New Hampshire,REG (Non-Conf),W 62-55,*,39,7,16,0.438,2,5,0.4,5,11,0.455,0.5,14,16,0.875,0,5,5,2,3,0,2,1,30,24.3,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
7,76,7,2010-12-03,Connecticut,,UMBC,REG (Non-Conf),W 94-61,*,30,9,13,0.692,2,3,0.667,7,10,0.7,0.769,4,4,1.0,5,8,13,10,1,1,3,1,24,29.7,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
8,77,8,2010-12-08,Connecticut,,Fairleigh Dickinson,REG (Non-Conf),W 78-54,*,32,7,13,0.538,3,7,0.429,4,6,0.667,0.654,4,5,0.8,0,4,4,2,3,2,1,1,21,19.9,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
9,78,9,2010-12-20,Connecticut,,Coppin State,REG (Non-Conf),W 76-64,*,35,7,17,0.412,2,6,0.333,5,11,0.455,0.471,4,6,0.667,3,2,5,4,3,0,1,1,20,17.2,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
10,79,10,2010-12-22,Connecticut,,Harvard,REG (Non-Conf),W 81-52,*,33,8,17,0.471,2,4,0.5,6,13,0.462,0.529,2,3,0.667,0,0,0,4,0,0,3,1,20,10.3,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
11,80,11,2010-12-27,Connecticut,@,Pittsburgh,REG (Conf),L 63-78,*,35,10,27,0.37,3,11,0.273,7,16,0.438,0.426,8,11,0.727,2,2,4,2,5,0,3,2,31,19.5,A,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
12,81,12,2010-12-31,Connecticut,,South Florida,REG (Conf),W 66-61 (OT),*,43,7,18,0.389,1,5,0.2,6,13,0.462,0.417,9,11,0.818,1,7,8,4,2,0,2,0,24,19.0,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
13,82,13,2011-01-04,Connecticut,@,Notre Dame,REG (Conf),L 70-73,*,37,8,23,0.348,0,5,0.0,8,18,0.444,0.348,3,3,1.0,0,7,7,5,3,1,3,4,19,10.8,A,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
14,83,14,2011-01-08,Connecticut,@,Texas,REG (Non-Conf),W 82-81 (OT),*,43,8,27,0.296,2,5,0.4,6,22,0.273,0.333,4,5,0.8,1,8,9,1,2,0,4,2,22,6.9,A,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
15,84,15,2011-01-11,Connecticut,,Rutgers,REG (Conf),W 67-53,*,36,7,15,0.467,2,6,0.333,5,9,0.556,0.533,2,2,1.0,2,4,6,3,1,0,1,0,18,15.0,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
16,85,16,2011-01-15,Connecticut,@,DePaul,REG (Conf),W 82-62,*,33,10,17,0.588,2,4,0.5,8,13,0.615,0.647,9,10,0.9,1,3,4,5,3,0,1,0,31,29.8,A,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
17,86,17,2011-01-17,Connecticut,,Villanova,REG (Conf),W 61-59,*,39,6,18,0.333,3,6,0.5,3,12,0.25,0.417,9,12,0.75,2,4,6,5,0,0,3,2,24,14.9,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
18,87,18,2011-01-22,Connecticut,,Tennessee,REG (Non-Conf),W 72-61,*,40,6,17,0.353,1,5,0.2,5,12,0.417,0.382,3,5,0.6,2,1,3,7,1,0,2,2,16,10.5,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
19,88,19,2011-01-25,Connecticut,@,Marquette,REG (Conf),W 76-68,*,39,5,16,0.313,0,5,0.0,5,11,0.455,0.313,4,5,0.8,0,6,6,9,2,0,2,1,14,12.1,A,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
20,89,20,2011-01-29,Connecticut,,Louisville,REG (Conf),L 78-79 (2OT),*,47,7,23,0.304,2,10,0.2,5,13,0.385,0.348,4,6,0.667,2,2,4,4,2,0,1,2,20,10.9,H,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
21,90,21,2011-02-02,Connecticut,,Syracuse,REG (Conf),L 58-66,*,38,3,14,0.214,1,6,0.167,2,8,0.25,0.25,1,2,0.5,0,6,6,5,0,0,1,1,8,2.9,H,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
22,91,22,2011-02-05,Connecticut,@,Seton Hall,REG (Conf),W 61-59,*,37,7,19,0.368,3,5,0.6,4,14,0.286,0.447,2,7,0.286,1,4,5,3,2,0,0,2,19,11.7,A,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
23,92,23,2011-02-10,Connecticut,@,St. John's (NY),REG (Conf),L 72-89,*,36,4,16,0.25,4,7,0.571,0,9,0.0,0.375,3,6,0.5,0,4,4,7,1,0,1,2,15,9.5,A,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
24,93,24,2011-02-13,Connecticut,,Providence,REG (Conf),W 75-57,*,40,7,10,0.7,3,4,0.75,4,6,0.667,0.85,5,6,0.833,2,4,6,7,1,0,1,1,22,24.5,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
25,94,25,2011-02-16,Connecticut,,Georgetown,REG (Conf),W 78-70,*,40,13,23,0.565,1,5,0.2,12,18,0.667,0.587,4,8,0.5,2,5,7,10,2,1,2,1,31,28.7,H,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
26,95,26,2011-02-18,Connecticut,@,Louisville,REG (Conf),L 58-71,*,39,3,10,0.3,1,3,0.333,2,7,0.286,0.35,9,11,0.818,0,6,6,3,1,0,3,2,16,10.5,A,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
27,96,27,2011-02-24,Connecticut,,Marquette,REG (Conf),L 67-74 (OT),*,43,10,27,0.37,2,6,0.333,8,21,0.381,0.407,5,6,0.833,3,2,5,2,1,0,4,1,27,12.4,H,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
28,97,28,2011-02-27,Connecticut,@,Cincinnati,REG (Conf),W 67-59,*,38,5,11,0.455,1,4,0.25,4,7,0.571,0.5,5,6,0.833,1,2,3,4,2,0,3,3,16,11.8,A,1,1,kemba-walker-1,Kemba Walker,2011,connecticut
29,98,29,2011-03-02,Connecticut,@,West Virginia,REG (Conf),L 56-65,*,40,8,23,0.348,4,7,0.571,4,16,0.25,0.435,2,2,1.0,2,0,2,2,1,0,1,1,22,11.5,A,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
30,99,30,2011-03-05,Connecticut,,Notre Dame,REG (Conf),L 67-70,*,40,11,22,0.5,2,7,0.286,9,15,0.6,0.545,10,10,1.0,2,4,6,1,1,0,1,0,34,26.3,H,0,1,kemba-walker-1,Kemba Walker,2011,connecticut
31,100,31,2011-03-08,Connecticut,N,DePaul,CTOURN,W 97-71,*,36,8,15,0.533,0,3,0.0,8,12,0.667,0.533,10,12,0.833,1,6,7,5,1,0,4,1,26,20.5,N,1,0,kemba-walker-1,Kemba Walker,2011,connecticut
