rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,79,1,2016-11-11,North Carolina,N,Tulane,REG (Non-Conf),W 95-75,*,29,9,12,0.75,4,5,0.8,5,7,0.714,0.917,5,6,0.833,0,1,1,4,0,0,2,2,27,22.1,N,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
2,80,2,2016-11-13,North Carolina,,Chattanooga,REG (Non-Conf),W 97-57,*,28,4,13,0.308,2,5,0.4,2,8,0.25,0.385,0,0,,1,1,2,5,2,0,0,1,10,8.6,H,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
3,81,3,2016-11-15,North Carolina,,Long Beach State,REG (Non-Conf),W 93-67,*,29,6,13,0.462,0,4,0.0,6,9,0.667,0.462,2,3,0.667,3,7,10,2,1,0,2,2,14,10.7,H,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
4,82,4,2016-11-18,North Carolina,@,Hawaii,REG (Non-Conf),W 83-68,*,34,4,10,0.4,1,5,0.2,3,5,0.6,0.45,2,2,1.0,1,2,3,1,1,0,2,3,11,5.4,A,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
5,83,5,2016-11-21,North Carolina,N,Chaminade,REG (Non-Conf),W 104-61,*,25,5,10,0.5,2,4,0.5,3,6,0.5,0.6,0,0,,0,3,3,2,0,0,2,1,12,6.9,N,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
6,84,6,2016-11-22,North Carolina,N,Oklahoma State,REG (Non-Conf),W 107-75,*,28,7,12,0.583,1,4,0.25,6,8,0.75,0.625,7,7,1.0,4,4,8,6,1,0,0,2,22,24.8,N,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
7,85,7,2016-11-23,North Carolina,N,Wisconsin,REG (Non-Conf),W 71-56,*,31,4,13,0.308,1,6,0.167,3,7,0.429,0.346,3,3,1.0,0,2,2,2,0,0,3,2,12,2.7,N,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
8,86,8,2016-11-30,North Carolina,@,Indiana,REG (Non-Conf),L 67-76,*,31,7,13,0.538,4,7,0.571,3,6,0.5,0.692,3,4,0.75,2,6,8,1,0,0,0,0,21,18.2,A,0,1,justin-jackson-4,Justin Jackson,2017,north-carolina
9,87,9,2016-12-04,North Carolina,,Radford,REG (Non-Conf),W 95-50,*,27,4,8,0.5,0,3,0.0,4,5,0.8,0.5,0,0,,0,4,4,6,1,0,3,2,8,6.6,H,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
10,88,10,2016-12-07,North Carolina,,Davidson,REG (Non-Conf),W 83-74,*,31,9,19,0.474,7,13,0.538,2,6,0.333,0.658,2,2,1.0,0,8,8,1,0,0,3,3,27,16.2,H,1,1,justin-jackson-4,Justin Jackson,2017,north-carolina
