rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year,team_abbrev
1,1,1,2025-11-04,Duke,N,Texas,REG (Non-Conf),W 75-60,*,36,3,12,0.25,0,4,0.0,3,8,0.375,0.25,9,12,0.75,1,11,12,3,2,1,2,2,15,12.6,N,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
2,2,2,2025-11-08,Duke,,Western Carolina,REG (Non-Conf),W 95-54,*,23,8,15,0.533,4,9,0.444,4,6,0.667,0.667,5,5,1.0,5,3,8,5,0,1,0,2,25,25.5,H,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
3,3,3,2025-11-11,Duke,@,Army,REG (Non-Conf),W 114-59,*,27,4,8,0.5,1,4,0.25,3,4,0.75,0.563,6,6,1.0,2,7,9,4,2,2,1,1,15,19.3,A,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
4,4,4,2025-11-14,Duke,,Indiana State,REG (Non-Conf),W 100-62,*,29,13,16,0.813,2,2,1.0,11,14,0.786,0.875,7,11,0.636,7,5,12,5,3,3,1,1,35,41.0,H,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
5,5,5,2025-11-18,Duke,N,Kansas,REG (Non-Conf),W 78-66,*,34,7,17,0.412,1,4,0.25,6,13,0.462,0.441,3,5,0.6,4,7,11,5,0,0,2,2,18,13.7,N,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
6,6,6,2025-11-21,Duke,,Niagara,REG (Non-Conf),W 100-42,*,21,5,11,0.455,0,1,0.0,5,10,0.5,0.455,4,4,1.0,1,4,5,2,3,2,1,0,14,15.0,H,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
7,7,7,2025-11-23,Duke,,Howard,REG (Non-Conf),W 93-56,*,26,10,12,0.833,2,3,0.667,8,9,0.889,0.917,4,5,0.8,2,10,12,4,2,0,0,2,26,29.6,H,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
8,8,8,2025-11-27,Duke,N,Arkansas,REG (Non-Conf),W 80-71,*,36,13,18,0.722,2,4,0.5,11,14,0.786,0.778,7,11,0.636,2,7,9,3,2,0,3,2,35,29.8,N,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
9,9,9,2025-12-02,Duke,,Florida,REG (Non-Conf),W 67-66,*,36,10,21,0.476,3,9,0.333,7,12,0.583,0.548,6,7,0.857,3,3,6,2,1,0,2,2,29,20.5,H,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
10,10,10,2025-12-06,Duke,@,Michigan State,REG (Non-Conf),W 66-60,*,34,7,13,0.538,1,3,0.333,6,10,0.6,0.577,3,4,0.75,4,11,15,5,2,1,1,5,18,20.6,A,1,1,cameron-boozer-3,Cameron Boozer,2026,duke
