rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2014-11-14,St. John's (NY),,NJIT,REG (Non-Conf),W 77-58,,11,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,0,0,0,0,1,0,0,1,0,-1.5,H,1,1,myles-stewart-1,Myles Stewart,2015
2,2,2,2014-11-17,St. John's (NY),,Franklin Pierce,REG (Non-Conf),W 94-81,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,H,1,1,myles-stewart-1,Myles Stewart,2015
3,3,3,2014-11-19,St. John's (NY),,LIU Brooklyn,REG (Non-Conf),W 66-53,,6,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,0,0,0,0,0,0,0,1,3,1.6,H,1,1,myles-stewart-1,Myles Stewart,2015
4,4,5,2014-11-28,St. John's (NY),,Gonzaga,REG (Non-Conf),L 66-73,,13,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,1,1,2,0,0,0,0,1,3,2.6,H,0,1,myles-stewart-1,Myles Stewart,2015
5,5,6,2014-12-02,St. John's (NY),,Niagara,REG (Non-Conf),W 70-57,*,19,3,7,0.429,3,6,0.5,0,1,0.0,0.643,0,0,0,1,1,1,0,3,1,2,9,6.6,H,1,1,myles-stewart-1,Myles Stewart,2015
6,6,7,2014-12-06,St. John's (NY),@,Syracuse,REG (Non-Conf),W 69-57,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,A,1,1,myles-stewart-1,Myles Stewart,2015
7,7,8,2014-12-10,St. John's (NY),,Fairleigh Dickinson,REG (Non-Conf),W 74-52,,3,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,H,1,1,myles-stewart-1,Myles Stewart,2015
8,8,9,2014-12-14,St. John's (NY),,Fordham,REG (Non-Conf),W 74-53,,6,1,4,0.25,1,3,0.333,0,1,0.0,0.375,0,0,0,2,2,0,0,0,1,0,3,0.2,H,1,1,myles-stewart-1,Myles Stewart,2015
9,9,10,2014-12-19,St. John's (NY),,St. Mary's (CA),REG (Non-Conf),W 53-47,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,H,1,1,myles-stewart-1,Myles Stewart,2015
10,10,11,2014-12-22,St. John's (NY),,Long Beach State,REG (Non-Conf),W 66-49,,4,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,-1.8,H,1,1,myles-stewart-1,Myles Stewart,2015
11,11,12,2014-12-28,St. John's (NY),N,Tulane,REG (Non-Conf),W 82-57,,7,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,-1.5,N,1,1,myles-stewart-1,Myles Stewart,2015
12,12,14,2015-01-03,St. John's (NY),,Butler,REG (Conf),L 69-73,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,H,0,1,myles-stewart-1,Myles Stewart,2015
13,13,15,2015-01-06,St. John's (NY),,Villanova,REG (Conf),L 72-90,,5,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,0,0,0,0,1,0,0,0,5,5.4,H,0,1,myles-stewart-1,Myles Stewart,2015
14,14,17,2015-01-18,St. John's (NY),@,DePaul,REG (Conf),L 67-71 (OT),,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,A,0,1,myles-stewart-1,Myles Stewart,2015
15,15,20,2015-01-28,St. John's (NY),@,Creighton,REG (Conf),L 74-77,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,A,0,1,myles-stewart-1,Myles Stewart,2015
16,16,22,2015-02-03,St. John's (NY),@,Butler,REG (Conf),L 62-85,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,A,0,1,myles-stewart-1,Myles Stewart,2015
17,17,23,2015-02-07,St. John's (NY),,Creighton,REG (Conf),W 84-66,,2,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,0,0,0,0,0,0,0,0,3,2.0,H,1,1,myles-stewart-1,Myles Stewart,2015
18,18,26,2015-02-17,St. John's (NY),@,Georgetown,REG (Conf),L 57-79,,5,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,0,1,1,0,0,0,0,1,0,-1.5,A,0,1,myles-stewart-1,Myles Stewart,2015
19,19,31,2015-03-07,St. John's (NY),@,Villanova,REG (Conf),L 68-105,,6,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,0,0,0,0,0,0,1,0,2,-2.1,A,0,1,myles-stewart-1,Myles Stewart,2015
20,20,32,2015-03-12,St. John's (NY),N,Providence,CTOURN,L 57-74,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,1,0,0,0,1,0,0.3,N,0,0,myles-stewart-1,Myles Stewart,2015
