rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
15,15,2022-12-29,@,Omaha,REG (Conf),W,92.0,89.0,,27.0,57.0,0.474,16.0,27.0,0.593,11.0,30.0,0.367,0.614,22.0,26.0,0.846,6.0,24.0,30.0,17.0,10.0,8.0,13.0,18.0,30.0,68.0,0.441,10.0,18.0,0.556,20,50,.400,0.515,19.0,20.0,0.95,12.0,25,37,16,9.0,2.0,14.0,22,1,1,0,oral-roberts,2023
16,16,2022-12-31,@,Denver,REG (Conf),W,80.0,62.0,,30.0,65.0,0.462,9.0,32.0,0.281,21.0,33.0,0.636,0.531,11.0,12.0,0.917,4.0,24.0,28.0,17.0,5.0,9.0,8.0,20.0,22.0,56.0,0.393,4.0,11.0,0.364,18,45,.400,0.429,14.0,26.0,0.538,11.0,26,37,6,3.0,2.0,15.0,15,1,1,0,oral-roberts,2023
17,17,2023-01-07,,Kansas City,REG (Conf),W,74.0,71.0,,23.0,48.0,0.479,11.0,27.0,0.407,12.0,21.0,0.571,0.594,17.0,24.0,0.708,6.0,18.0,24.0,14.0,4.0,4.0,12.0,12.0,28.0,57.0,0.491,10.0,21.0,0.476,18,36,.500,0.579,5.0,9.0,0.556,8.0,20,28,15,5.0,1.0,11.0,22,1,1,0,oral-roberts,2023
18,18,2023-01-09,@,New Mexico,REG (Non-Conf),L,75.0,82.0,,30.0,71.0,0.423,9.0,36.0,0.25,21.0,35.0,0.6,0.486,6.0,11.0,0.545,14.0,24.0,38.0,11.0,2.0,6.0,12.0,18.0,33.0,64.0,0.516,4.0,16.0,0.25,29,48,.604,0.547,12.0,19.0,0.632,8.0,32,40,16,7.0,8.0,10.0,14,0,1,0,oral-roberts,2023
19,19,2023-01-12,,Western Illinois,REG (Conf),W,87.0,63.0,,33.0,70.0,0.471,11.0,27.0,0.407,22.0,43.0,0.512,0.55,10.0,11.0,0.909,7.0,30.0,37.0,14.0,9.0,6.0,4.0,11.0,25.0,64.0,0.391,5.0,25.0,0.2,20,39,.513,0.43,8.0,12.0,0.667,10.0,28,38,17,4.0,5.0,12.0,10,1,1,0,oral-roberts,2023
20,20,2023-01-14,,St. Thomas,REG (Conf),W,81.0,69.0,,29.0,51.0,0.569,10.0,23.0,0.435,19.0,28.0,0.679,0.667,13.0,18.0,0.722,3.0,26.0,29.0,13.0,3.0,6.0,9.0,12.0,24.0,63.0,0.381,12.0,33.0,0.364,12,30,.400,0.476,9.0,10.0,0.9,7.0,21,28,12,7.0,1.0,8.0,17,1,1,0,oral-roberts,2023
21,21,2023-01-19,@,North Dakota State,REG (Conf),W,92.0,69.0,,36.0,63.0,0.571,14.0,32.0,0.438,22.0,31.0,0.71,0.683,6.0,9.0,0.667,5.0,29.0,34.0,19.0,11.0,3.0,10.0,14.0,25.0,58.0,0.431,10.0,22.0,0.455,15,36,.417,0.517,9.0,13.0,0.692,4.0,22,26,13,4.0,2.0,13.0,11,1,1,0,oral-roberts,2023
22,22,2023-01-21,@,North Dakota,REG (Conf),W,84.0,72.0,,30.0,55.0,0.545,8.0,20.0,0.4,22.0,35.0,0.629,0.618,16.0,20.0,0.8,8.0,30.0,38.0,9.0,3.0,3.0,9.0,12.0,26.0,67.0,0.388,11.0,38.0,0.289,15,29,.517,0.47,9.0,13.0,0.692,11.0,19,30,10,3.0,1.0,6.0,19,1,1,0,oral-roberts,2023
23,23,2023-01-26,,Denver,REG (Conf),W,102.0,61.0,,38.0,67.0,0.567,15.0,30.0,0.5,23.0,37.0,0.622,0.679,11.0,12.0,0.917,3.0,27.0,30.0,20.0,7.0,3.0,6.0,17.0,25.0,60.0,0.417,2.0,15.0,0.133,23,45,.511,0.433,9.0,15.0,0.6,10.0,22,32,8,6.0,3.0,16.0,14,1,1,0,oral-roberts,2023
24,24,2023-01-28,,Omaha,REG (Conf),W,73.0,64.0,,27.0,67.0,0.403,6.0,27.0,0.222,21.0,40.0,0.525,0.448,13.0,17.0,0.765,10.0,32.0,42.0,12.0,4.0,6.0,8.0,8.0,27.0,68.0,0.397,3.0,16.0,0.188,24,52,.462,0.419,7.0,11.0,0.636,10.0,28,38,8,4.0,2.0,8.0,15,1,1,0,oral-roberts,2023
25,25,2023-01-30,,South Dakota,REG (Conf),W,103.0,53.0,,37.0,67.0,0.552,18.0,37.0,0.486,19.0,30.0,0.633,0.687,11.0,16.0,0.688,9.0,34.0,43.0,19.0,10.0,6.0,8.0,15.0,18.0,56.0,0.321,7.0,29.0,0.241,11,27,.407,0.384,10.0,12.0,0.833,5.0,21,26,11,4.0,1.0,16.0,16,1,1,0,oral-roberts,2023
26,26,2023-02-04,@,Kansas City,REG (Conf),W,85.0,57.0,,33.0,63.0,0.524,10.0,27.0,0.37,23.0,36.0,0.639,0.603,9.0,12.0,0.75,10.0,24.0,34.0,11.0,8.0,8.0,13.0,18.0,19.0,60.0,0.317,3.0,11.0,0.273,16,49,.327,0.342,16.0,24.0,0.667,14.0,15,29,5,8.0,2.0,11.0,15,1,1,0,oral-roberts,2023
