rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
17,17,2023-01-15,@,Michigan,REG (Conf),L,78,85,,27,64,0.422,6,23,0.261,21,41,0.512,0.469,18,24,0.75,9,20,29,13,11,2,8,19,29,56,0.518,10,22,0.455,19,34,.559,0.607,17,24,0.708,10,28,38,18,5,4,18,17,0,1,0,northwestern,2023
18,18,2023-01-23,,Wisconsin,REG (Conf),W,66,63,,22,51,0.431,6,16,0.375,16,35,0.457,0.49,16,18,0.889,7,24,31,9,3,1,5,22,22,57,0.386,10,31,0.323,12,26,.462,0.474,9,16,0.563,8,21,29,16,3,1,5,19,1,1,0,northwestern,2023
19,19,2023-01-25,@,Nebraska,REG (Conf),W,78,63,,29,56,0.518,11,30,0.367,18,26,0.692,0.616,9,12,0.75,7,26,33,15,8,3,15,13,25,53,0.472,9,25,0.36,16,28,.571,0.557,4,8,0.5,5,17,22,14,7,2,16,11,1,1,0,northwestern,2023
20,20,2023-01-28,,Minnesota,REG (Conf),W,81,61,,31,60,0.517,9,20,0.45,22,40,0.55,0.592,10,12,0.833,8,20,28,16,7,6,4,18,20,44,0.455,5,18,0.278,15,26,.577,0.511,16,26,0.615,7,21,28,13,2,2,14,12,1,1,0,northwestern,2023
21,21,2023-01-31,@,Iowa,REG (Conf),L,70,86,,27,58,0.466,4,17,0.235,23,41,0.561,0.5,12,14,0.857,8,15,23,11,7,4,8,16,29,52,0.558,10,21,0.476,19,31,.613,0.654,18,22,0.818,5,23,28,17,3,4,11,14,0,1,0,northwestern,2023
22,22,2023-02-02,,Michigan,REG (Conf),L,51,68,,21,56,0.375,3,19,0.158,18,37,0.486,0.402,6,10,0.6,8,20,28,14,5,5,8,14,24,58,0.414,7,20,0.35,17,38,.447,0.474,13,16,0.813,11,27,38,21,6,3,7,14,0,1,0,northwestern,2023
23,23,2023-02-05,@,Wisconsin,REG (Conf),W,54,52,,21,45,0.467,4,15,0.267,17,30,0.567,0.511,8,13,0.615,6,27,33,11,5,5,9,14,19,50,0.38,9,23,0.391,10,27,.370,0.47,5,11,0.455,6,17,23,13,6,1,8,14,1,1,0,northwestern,2023
24,24,2023-02-09,@,Ohio State,REG (Conf),W,69,63,,24,52,0.462,12,29,0.414,12,23,0.522,0.577,9,13,0.692,5,16,21,15,6,1,10,17,24,48,0.5,1,14,0.071,23,34,.676,0.51,14,22,0.636,10,25,35,10,3,1,14,16,1,1,0,northwestern,2023
25,25,2023-02-12,,Purdue,REG (Conf),W,64,58,,23,56,0.411,4,22,0.182,19,34,0.559,0.446,14,20,0.7,9,20,29,12,11,4,9,17,17,47,0.362,5,22,0.227,12,25,.480,0.415,19,24,0.792,6,25,31,15,5,4,14,17,1,1,0,northwestern,2023
26,26,2023-02-15,,Indiana,REG (Conf),W,64,62,,21,57,0.368,8,33,0.242,13,24,0.542,0.439,14,14,1.0,4,17,21,8,7,3,3,16,22,45,0.489,3,11,0.273,19,34,.559,0.522,15,20,0.75,3,29,32,15,1,2,13,13,1,1,0,northwestern,2023
27,27,2023-02-19,,Iowa,REG (Conf),W,80,60,,27,55,0.491,10,20,0.5,17,35,0.486,0.582,16,20,0.8,6,23,29,15,9,3,10,17,23,54,0.426,3,24,0.125,20,30,.667,0.454,11,16,0.688,8,25,33,13,6,1,13,16,1,1,0,northwestern,2023
28,28,2023-02-23,@,Illinois,REG (Conf),L,62,66,,22,63,0.349,9,21,0.429,13,42,0.31,0.421,9,12,0.75,10,19,29,7,11,2,10,18,22,50,0.44,7,24,0.292,15,26,.577,0.51,15,21,0.714,8,28,36,6,6,6,16,16,0,1,0,northwestern,2023
29,29,2023-02-26,@,Maryland,REG (Conf),L,59,75,,24,53,0.453,5,19,0.263,19,34,0.559,0.5,6,7,0.857,8,17,25,9,2,2,7,12,28,52,0.538,14,22,0.636,14,30,.467,0.673,5,8,0.625,7,21,28,17,2,4,6,8,0,1,0,northwestern,2023
30,30,2023-03-01,,Penn State,REG (Conf),L,65,68,OT,24,67,0.358,12,29,0.414,12,38,0.316,0.448,5,6,0.833,11,22,33,15,8,4,5,13,24,52,0.462,13,29,0.448,11,23,.478,0.587,7,13,0.538,6,25,31,19,1,3,12,11,0,1,0,northwestern,2023
31,31,2023-03-05,@,Rutgers,REG (Conf),W,65,53,,24,53,0.453,7,23,0.304,17,30,0.567,0.519,10,17,0.588,11,28,39,13,10,6,16,18,20,55,0.364,2,17,0.118,18,38,.474,0.382,11,21,0.524,9,21,30,11,10,3,15,19,1,1,0,northwestern,2023
32,32,2023-03-10,N,Penn State,CTOURN,L,65,67,OT,21,66,0.318,6,24,0.25,15,42,0.357,0.364,17,21,0.81,12,25,37,12,8,3,4,21,21,51,0.412,7,20,0.35,14,31,.452,0.48,18,29,0.621,8,30,38,6,2,1,14,20,0,0,0,northwestern,2023
33,33,2023-03-16,N,Boise State,ROUND-64,W,75,67,,26,53,0.491,8,21,0.381,18,32,0.563,0.566,15,18,0.833,8,22,30,9,7,0,7,16,26,65,0.4,6,23,0.261,20,42,.476,0.446,9,14,0.643,18,20,38,15,2,0,9,17,1,0,0,northwestern,2023
34,34,2023-03-18,N,UCLA,ROUND-32,L,63,68,,22,59,0.373,6,22,0.273,16,37,0.432,0.424,13,15,0.867,12,16,28,11,5,0,8,16,22,44,0.5,6,15,0.4,16,29,.552,0.568,18,21,0.857,3,23,26,17,4,3,8,14,0,0,0,northwestern,2023
