rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
16,16,2013-01-03,@,Kansas City,REG (Conf),W,77,61,,29,57,0.509,12,27,0.444,17,30,0.567,0.614,7,9,0.778,7,22,29,21,5,1,10,9,23,52,0.442,8,19,0.421,15,33,.455,0.519,7,9,0.778,4,19,23,10,5,2,11,16,1,1,0,south-dakota-state,2013
17,17,2013-01-05,@,South Dakota,REG (Conf),L,71,74,,24,65,0.369,10,29,0.345,14,36,0.389,0.446,13,16,0.813,12,22,34,12,1,3,5,18,24,54,0.444,8,18,0.444,16,36,.444,0.519,18,19,0.947,5,28,33,12,4,3,8,15,0,1,0,south-dakota-state,2013
18,18,2013-01-10,,Oakland,REG (Conf),W,81,74,,28,55,0.509,5,16,0.313,23,39,0.59,0.555,20,25,0.8,5,25,30,16,5,2,8,16,25,65,0.385,6,24,0.25,19,41,.463,0.431,18,23,0.783,13,22,35,15,4,2,10,23,1,1,0,south-dakota-state,2013
19,19,2013-01-12,,IPFW,REG (Conf),W,83,57,,30,54,0.556,7,13,0.538,23,41,0.561,0.62,16,25,0.64,11,20,31,14,10,1,12,16,22,52,0.423,3,18,0.167,19,34,.559,0.452,10,18,0.556,9,16,25,10,9,1,18,25,1,1,0,south-dakota-state,2013
20,20,2013-01-17,@,Western Illinois,REG (Conf),W,59,53,,22,43,0.512,7,15,0.467,15,28,0.536,0.593,8,11,0.727,5,22,27,12,5,1,9,13,22,52,0.423,5,18,0.278,17,34,.500,0.471,4,13,0.308,12,16,28,14,5,1,6,13,1,1,0,south-dakota-state,2013
21,21,2013-01-19,@,IUPUI,REG (Conf),W,80,65,,25,53,0.472,7,19,0.368,18,34,0.529,0.538,23,30,0.767,4,30,34,16,5,3,8,17,28,66,0.424,3,13,0.231,25,53,.472,0.447,6,15,0.4,12,27,39,10,3,3,8,21,1,1,0,south-dakota-state,2013
22,22,2013-01-26,,North Dakota State,REG (Conf),W,69,53,,23,49,0.469,7,16,0.438,16,33,0.485,0.541,16,20,0.8,6,23,29,10,5,1,9,10,21,50,0.42,8,21,0.381,13,29,.448,0.5,3,5,0.6,7,22,29,11,8,3,12,20,1,1,0,south-dakota-state,2013
23,23,2013-01-31,,South Dakota,REG (Conf),W,67,54,,23,61,0.377,9,22,0.409,14,39,0.359,0.451,12,15,0.8,14,21,35,13,10,2,7,15,22,45,0.489,5,14,0.357,17,31,.548,0.544,5,10,0.5,3,22,25,10,3,3,15,16,1,1,0,south-dakota-state,2013
24,24,2013-02-02,,Kansas City,REG (Conf),W,88,57,,27,57,0.474,10,19,0.526,17,38,0.447,0.561,24,29,0.828,6,33,39,19,4,1,7,12,21,62,0.339,6,20,0.3,15,42,.357,0.387,9,15,0.6,10,26,36,8,7,1,11,22,1,1,0,south-dakota-state,2013
25,25,2013-02-07,@,IPFW,REG (Conf),W,80,74,,26,56,0.464,10,19,0.526,16,37,0.432,0.554,18,24,0.75,7,18,25,10,6,2,8,16,28,57,0.491,9,20,0.45,19,37,.514,0.57,9,15,0.6,11,22,33,14,5,3,13,20,1,1,0,south-dakota-state,2013
26,26,2013-02-09,@,Oakland,REG (Conf),L,83,88,,28,59,0.475,10,27,0.37,18,32,0.563,0.559,17,17,1.0,10,25,35,12,2,1,12,12,30,61,0.492,16,30,0.533,14,31,.452,0.623,12,15,0.8,7,15,22,19,10,1,4,14,0,1,0,south-dakota-state,2013
27,27,2013-02-14,,IUPUI,REG (Conf),W,82,45,,28,52,0.538,11,22,0.5,17,30,0.567,0.644,15,19,0.789,10,30,40,17,7,2,10,9,19,53,0.358,3,16,0.188,16,37,.432,0.387,4,6,0.667,4,14,18,7,5,2,11,13,1,1,0,south-dakota-state,2013
28,28,2013-02-16,,Western Illinois,REG (Conf),W,64,55,,23,55,0.418,9,18,0.5,14,37,0.378,0.5,9,13,0.692,9,23,32,12,6,2,5,11,23,46,0.5,6,11,0.545,17,35,.486,0.565,3,11,0.273,4,24,28,13,2,3,9,15,1,1,0,south-dakota-state,2013
29,29,2013-02-20,@,Cal State Bakersfield,REG (Non-Conf),L,78,79,2OT,29,58,0.5,8,21,0.381,21,37,0.568,0.569,12,21,0.571,4,35,39,18,6,2,18,24,24,66,0.364,6,22,0.273,18,44,.409,0.409,25,33,0.758,8,26,34,13,5,3,11,19,0,1,0,south-dakota-state,2013
30,30,2013-02-23,@,Murray State,REG (Non-Conf),L,62,73,,25,52,0.481,9,21,0.429,16,31,0.516,0.567,3,3,1.0,5,20,25,13,5,3,13,8,29,59,0.492,11,26,0.423,18,33,.545,0.585,4,5,0.8,7,20,27,14,8,2,9,8,0,1,0,south-dakota-state,2013
31,31,2013-02-28,@,Omaha,REG (Conf),W,100,82,,37,64,0.578,9,20,0.45,28,44,0.636,0.648,17,24,0.708,12,37,49,22,2,3,15,17,32,73,0.438,8,23,0.348,24,50,.480,0.493,10,14,0.714,5,16,21,16,8,2,9,23,1,1,0,south-dakota-state,2013
32,32,2013-03-09,N,IUPUI,CTOURN,W,66,49,,26,51,0.51,2,9,0.222,24,42,0.571,0.529,12,15,0.8,10,20,30,10,6,1,3,11,20,42,0.476,4,14,0.286,16,28,.571,0.524,5,8,0.625,5,15,20,5,2,2,9,15,1,0,0,south-dakota-state,2013
33,33,2013-03-11,N,IPFW,CTOURN,W,72,56,,24,39,0.615,9,17,0.529,15,22,0.682,0.731,15,17,0.882,1,27,28,16,1,0,15,12,22,50,0.44,6,20,0.3,16,30,.533,0.5,6,9,0.667,3,14,17,14,11,1,9,21,1,0,0,south-dakota-state,2013
34,34,2013-03-12,N,North Dakota State,CTOURN,W,73,67,,23,48,0.479,6,16,0.375,17,32,0.531,0.542,21,23,0.913,6,21,27,12,6,1,7,11,25,54,0.463,7,20,0.35,18,34,.529,0.528,10,10,1.0,4,19,23,9,7,3,10,19,1,0,0,south-dakota-state,2013
35,35,2013-03-21,N,Michigan,ROUND-64,L,56,71,,23,52,0.442,4,19,0.211,19,33,0.576,0.481,6,8,0.75,5,21,26,13,3,0,12,10,28,55,0.509,9,20,0.45,19,35,.543,0.591,6,9,0.667,7,19,26,12,6,3,9,8,0,0,0,south-dakota-state,2013
