torvik_rank,team,conf,record,adj_o,adj_d,barthag,year,opponent_tier
1,Kentucky,SEC,32-1,120.75068933784232,88.36983367065761,0.9731499209611725,2012,1
2,Ohio St.,B10,27-6,116.0587314375716,85.41152737650486,0.9714206706298965,2012,1
3,Kansas,B12,27-6,115.8605398772692,88.24895400867655,0.9581371405359946,2012,1
4,Michigan St.,B10,26-7,113.01791685458178,86.19285973719937,0.9575490945412103,2012,1
5,North Carolina,ACC,29-4,115.46415155016362,88.31850753550617,0.9561491514925871,2012,1
6,Missouri,B12,30-4,124.69399923662559,96.62408588717362,0.9494489890281358,2012,1
7,Syracuse,BE,31-2,114.7446016485379,90.3060278394671,0.9401558965864395,2012,1
8,Wichita St.,MVC,26-5,116.59974946778314,92.45139907967919,0.935156449825969,2012,1
9,Wisconsin,B10,24-9,110.8616895626871,88.07843693643377,0.9337417451906109,2012,1
10,Memphis,CUSA,26-8,113.00225229818003,91.05762386556984,0.9229432064046498,2012,1
11,Baylor,B12,26-7,115.63887768550718,93.58723349465399,0.9193204535044569,2012,1
12,Saint Louis,A10,24-7,110.45786511218311,89.39664762057726,0.9192971836383189,2012,1
13,Indiana,B10,25-8,119.35552342806903,96.80206453581505,0.9174762493041098,2012,1
14,New Mexico,MWC,26-6,109.88262147185944,89.28355207548469,0.9158573849105447,2012,1
15,Duke,ACC,27-6,116.9484144567015,95.19792400954424,0.9142297898870245,2012,1
16,Vanderbilt,SEC,23-10,114.50495408762717,93.28366511573279,0.9135040622195655,2012,1
17,Georgetown,BE,22-8,109.19683679244187,88.97870165091044,0.9133057550897824,2012,1
18,Florida,SEC,23-10,120.31657838854795,98.5533351918273,0.9084270184034527,2012,1
19,Michigan,B10,23-9,113.78215369580326,93.77513412111335,0.9023786989575334,2012,1
20,Louisville,BE,26-9,103.64587169316687,85.67884981309247,0.8992846216638476,2012,1
21,Florida St.,ACC,23-9,106.23405548689544,87.84009144239363,0.8990267523853005,2012,1
22,Marquette,BE,25-7,111.15539092084484,92.47775781976388,0.8924055178926553,2012,1
23,UNLV,MWC,24-8,109.44319157009612,91.48624239862677,0.887053960016932,2012,1
24,Virginia,ACC,22-9,104.59326878479247,87.60518648850062,0.8847547928130038,2012,1
25,Kansas St.,B12,21-10,108.51384312144924,90.94418877615678,0.8840408240084999,2012,1
