torvik_rank,team,conf,record,adj_o,adj_d,barthag,year,opponent_tier
1,Virginia,ACC,31-2,115.26829737523909,85.08678816827751,0.970438998732282,2018,1
2,Villanova,BE,30-4,127.54166712985926,95.75215517023204,0.9643195473160261,2018,1
3,Duke,ACC,26-7,121.94141700446919,92.58737802991743,0.9595718558496911,2018,1
4,Purdue,B10,28-6,123.8041549910202,95.60930243588243,0.9512909080805089,2018,1
5,Cincinnati,Amer,30-4,111.15794103690186,86.45361863225564,0.947372628692013,2018,1
6,Kansas,B12,27-7,121.86579908492766,96.04665800944801,0.939231640154921,2018,1
7,Michigan St.,B10,29-4,119.27694118163006,94.22956393239193,0.9376557595006946,2018,1
8,West Virginia,B12,24-10,120.34186781606087,95.52877314789167,0.9343463895131306,2018,1
9,North Carolina,ACC,25-10,122.24173242348863,97.45149061033834,0.9312740296562575,2018,1
10,Michigan,B10,27-7,115.2419593909346,92.20817751144432,0.9285302428712049,2018,1
11,Gonzaga,WCC,30-4,118.15878256530232,94.86232421057582,0.9259055226726909,2018,1
12,Tennessee,SEC,25-8,114.57084556687974,92.01773477216896,0.9255967119675711,2018,1
13,Xavier,BE,28-5,121.05294347096503,97.78277296906506,0.9209274305247251,2018,1
14,Ohio St.,B10,24-8,115.96333575084238,93.89149969776062,0.9189409116278513,2018,1
15,Texas Tech,B12,24-9,113.23609175787121,91.72617906814075,0.9185398918417427,2018,1
16,Florida,SEC,20-12,115.84872586204494,94.18612313298453,0.9153392400682366,2018,1
17,Houston,Amer,26-7,115.43929164185317,94.45281424934895,0.9094889140499673,2018,1
18,Kentucky,SEC,24-10,115.93973559679165,95.55072961878905,0.9024063185490204,2018,1
19,Auburn,SEC,25-7,117.31345842154468,97.10869412833853,0.8978640239686122,2018,1
20,Penn St.,B10,21-13,113.44194381504435,93.9302421936517,0.897568590895346,2018,1
21,Butler,BE,20-13,115.45504134938588,95.66476814248004,0.8968179405454952,2018,1
22,Creighton,BE,20-11,116.88831811285584,97.53758209618258,0.8890706779773812,2018,1
23,TCU,B12,21-11,120.56912975109752,100.7206755251425,0.8878066340347434,2018,1
24,Clemson,ACC,23-9,111.5536030150931,93.61035591269663,0.8825381407624748,2018,1
25,Seton Hall,BE,21-11,116.56537962017572,97.89271051046185,0.8816003007078436,2018,1
26,Wichita St.,Amer,25-7,121.41936314870742,102.29519653368385,0.8777139688361321,2018,1
27,Texas A&M,SEC,20-12,110.91424688092758,93.86586476720171,0.8720538198708262,2018,1
28,Arizona,P12,27-7,117.68790300223637,99.75068148554827,0.8700800746397848,2018,1
29,Kansas St.,B12,22-11,111.94289198939293,95.20977153730632,0.8655208271987468,2018,1
30,Louisville,ACC,20-13,112.76124763511417,95.91279981186837,0.8654231077679703,2018,1
31,Miami FL,ACC,22-9,113.54813954885836,96.58441354716334,0.8653912531989654,2018,1
32,USC,P12,23-11,114.69437013792924,97.64935485383921,0.8641518424224743,2018,1
33,Virginia Tech,ACC,21-11,114.64936234648975,97.68300908277395,0.8631536963908023,2018,1
34,Oklahoma St.,B12,19-14,113.35401547168979,96.59933025613142,0.862872516332417,2018,1
35,Missouri,SEC,19-12,112.45667937618757,95.95438520478484,0.8611643171535625,2018,1
36,Texas,B12,19-14,109.13942991166476,93.21242635899435,0.8598530210892932,2018,1
37,Arkansas,SEC,23-11,117.24322624669479,100.17293161752485,0.8593081062764638,2018,1
38,Saint Mary's,WCC,28-5,118.18882901667958,101.489934415232,0.8521703196784353,2018,1
39,Baylor,B12,17-14,110.12701519929824,94.63615893855976,0.8511107639686644,2018,1
40,San Diego St.,MWC,21-10,111.18156025757848,95.76592630499863,0.8476726047662021,2018,1
41,Maryland,B10,18-13,113.80590556985749,98.06987000496457,0.8470130727484809,2018,1
42,Oklahoma,B12,18-13,115.04907815588251,99.36348571562908,0.8436449309306534,2018,1
43,Nevada,MWC,27-7,117.84709200019259,101.81805877471945,0.8430773118258261,2018,1
44,Florida St.,ACC,20-11,114.85413040816732,99.50251883096959,0.8388936497353194,2018,1
45,Nebraska,B10,22-10,110.54258531099681,95.9056328310542,0.8366369705978244,2018,1
46,Marquette,BE,19-13,119.36377566899392,103.58887974250901,0.8361801186979041,2018,1
47,Notre Dame,ACC,19-14,114.57004825251317,99.45285977430017,0.8357967508872877,2018,1
48,Davidson,A10,21-11,117.15676094626313,101.91769453200746,0.8323666668401282,2018,1
49,North Carolina St.,ACC,21-11,115.15003016309203,100.4830864879464,0.8273318568832757,2018,1
50,Mississippi St.,SEC,21-11,110.14965230835114,96.13207777903028,0.8271188305918751,2018,1
51,Alabama,SEC,19-15,107.53747054800458,93.93381518084513,0.8256868887800335,2018,2
52,Boise St.,MWC,22-8,110.03352412502434,96.39231102631459,0.8208511019750802,2018,2
53,Syracuse,ACC,20-13,106.41261028989331,93.24530348624724,0.8203970050544342,2018,2
54,UCLA,P12,21-11,115.23812066790657,101.13241015570954,0.8178062025298026,2018,2
55,New Mexico St.,WAC,25-5,107.31701839254453,94.27620619815386,0.8160665139259822,2018,2
56,Rhode Island,A10,25-7,110.16852415470223,96.87257858523907,0.8144319929472756,2018,2
57,Arizona St.,P12,20-11,116.00185048388408,102.14227620248766,0.8120297893076834,2018,2
58,Loyola Chicago,MVC,27-5,109.5040636604697,96.46938584247813,0.8111443999446637,2018,2
59,Georgia,SEC,18-15,107.52227405091386,94.73581446204925,0.8109152094824995,2018,2
60,Middle Tennessee,CUSA,23-7,108.5707992187329,96.0191348080758,0.8042123098480903,2018,2
61,South Dakota St.,Sum,24-6,113.72360758802023,100.6249033551992,0.8033348667944599,2018,2
62,Utah,P12,19-11,111.12185343584025,98.40292637231869,0.8018510106751472,2018,2
63,LSU,SEC,17-14,114.64057458763745,101.54058068369446,0.8014604934686762,2018,2
64,Providence,BE,21-13,108.04032630616973,95.92075634705617,0.7971045071183395,2018,2
65,Louisiana Lafayette,SB,25-6,112.79091184154213,100.32800097023284,0.7935643344686935,2018,2
66,Oregon,P12,22-12,109.683704038261,98.55881708193493,0.7738000292053923,2018,2
67,Indiana,B10,16-15,108.54605463924449,97.54619074600154,0.7736011431340509,2018,2
68,South Dakota,Sum,22-8,108.80388635700942,97.82755706164373,0.7725767594279854,2018,2
69,Old Dominion,CUSA,25-7,107.23782946233655,96.50313218051953,0.7708198806063674,2018,2
70,Buffalo,MAC,25-8,113.90235185066423,102.5495409592101,0.7698471560408702,2018,2
71,Fresno St.,MWC,19-11,108.98740252742091,98.20765048729055,0.7681161044319769,2018,2
72,St. John's,BE,15-17,105.97945440009985,95.52310621132725,0.7675603397816548,2018,2
73,South Carolina,SEC,16-16,105.06580390549018,94.86790299456447,0.7638972913694269,2018,2
74,Western Kentucky,CUSA,23-10,112.0237866629016,101.48815205484965,0.756916035813445,2018,2
75,Georgetown,BE,15-15,110.76330923563202,100.54924741000323,0.7526137663186709,2018,2
76,Wisconsin,B10,15-18,108.40725718219801,98.43752129950991,0.7520245797239227,2018,2
77,St. Bonaventure,A10,25-7,111.13155015559825,100.98693961746926,0.7504136314395325,2018,2
78,Northwestern,B10,14-17,108.66793272182082,98.7813112628151,0.7496911205113703,2018,2
79,Stanford,P12,18-15,108.19615498579228,98.40481704098653,0.7485407771735467,2018,2
80,Murray St.,OVC,24-5,110.58020343411077,100.75283670295684,0.7446564978970756,2018,2
81,Boston College,ACC,19-15,112.8523892192178,102.8694211025873,0.7436702153060893,2018,2
82,Iowa St.,B12,13-18,110.52905267837272,100.96865834051913,0.7389242641270848,2018,2
83,BYU,WCC,24-10,106.8480371267415,97.85085356873361,0.7333286050740366,2018,2
84,Vanderbilt,SEC,12-20,115.3274411388397,105.65309568705263,0.732543354277257,2018,2
85,Wake Forest,ACC,11-20,110.14597831117948,101.20014013952917,0.7259407008946026,2018,2
86,Montana,BSky,24-7,107.8718274635444,99.1145053976247,0.7258526471681443,2018,2
87,Illinois,B10,13-18,110.54402159549498,101.67906435463564,0.7233845374231045,2018,2
88,Belmont,OVC,24-9,112.2142907987672,103.36329754628417,0.720077229825156,2018,2
89,UNC Greensboro,SC,24-7,103.99092206780347,95.81513478676374,0.7194336257872479,2018,2
90,Iowa,B10,14-19,116.12801863148147,107.4569198458635,0.7093927149551803,2018,2
91,SMU,Amer,17-16,107.88710660984543,99.96447930866498,0.7062230332041679,2018,2
92,Temple,Amer,17-15,107.31441216995718,99.63917202361714,0.7012771872521654,2018,2
93,DePaul,BE,11-20,103.74725703020312,96.40817072640621,0.6992476462461228,2018,2
94,Northern Kentucky,Horz,20-9,106.59232146364569,99.16851634202301,0.6963962084575951,2018,2
95,Utah Valley,WAC,19-10,109.02882064998684,101.52583172777929,0.6942232633082852,2018,2
96,Furman,SC,21-10,108.24679027809705,100.90435588692432,0.6916334859820845,2018,2
97,Washington,P12,20-12,104.92510287943897,97.91050279966429,0.6890580107550939,2018,2
98,Vermont,AE,26-7,110.6774409337468,103.29243425044139,0.6887201890009419,2018,2
99,Georgia St.,SB,22-10,108.35287425304267,101.15604674085398,0.6879134556047048,2018,2
100,Tulsa,Amer,19-12,108.23777614635003,101.09255089772962,0.6868386706286193,2018,2
101,Mississippi,SEC,12-20,110.86180075797319,103.61647580861938,0.6850898050294599,2018,3
102,Oregon St.,P12,16-16,107.66127695224552,100.68021209633076,0.6837302580449254,2018,3
103,New Mexico,MWC,18-15,113.24691158242365,105.95344358226848,0.6825603293256711,2018,3
104,Grand Canyon,WAC,21-11,101.97088013615138,95.56210792830686,0.6784102179735797,2018,3
105,East Tennessee St.,SC,23-9,103.80344230003732,97.30122583090163,0.6778495683563701,2018,3
106,Colorado,P12,17-15,104.99343137905754,98.50660085076169,0.6755517348576746,2018,3
107,UNLV,MWC,20-13,110.5648078450363,104.10066565854783,0.6665895035436458,2018,3
108,Bucknell,Pat,25-9,106.9510631477023,100.73597302031506,0.6656302058832615,2018,3
109,Northeastern,CAA,22-10,106.05628493110297,99.89976373605495,0.6654617990760167,2018,3
110,Minnesota,B10,15-17,108.11917908404266,101.91672263986183,0.6636043411517195,2018,3
111,Stephen F. Austin,Slnd,24-6,103.5339124220456,97.64947604895872,0.6621570500645313,2018,3
112,Northern Colorado,BSky,19-12,106.33173563910808,100.46592887417762,0.657589158580094,2018,3
113,Penn,Ivy,23-8,103.20944697289823,97.63869444761391,0.6543226882066984,2018,3
114,Georgia Tech,ACC,13-19,103.74958184047283,98.20928031561024,0.6527418466272102,2018,3
115,Northern Iowa,MVC,14-16,103.10781747461013,97.73291931498227,0.649233761114301,2018,3
116,San Diego,WCC,18-13,104.51458977266368,99.12804715038996,0.6476017400875788,2018,3
117,Toledo,MAC,22-11,113.26203592509953,108.13955529213413,0.6300046687555418,2018,3
118,Eastern Washington,BSky,18-14,108.05184265811849,103.25630321502203,0.627630241998524,2018,3
119,Marshall,CUSA,23-10,107.95267534576462,103.2058463610977,0.6264753744164716,2018,3
120,Saint Joseph's,A10,16-16,104.03230222083398,99.6076839128674,0.6224157624924721,2018,3
121,UCF,Amer,19-13,97.45915746399189,93.37961442920906,0.6205171450484677,2018,3
122,UAB,CUSA,18-13,107.33407644861347,102.90138172795871,0.6189311004475767,2018,3
123,UC Santa Barbara,BW,21-9,110.45967317893074,106.08994196714042,0.6140047300197449,2018,3
124,Missouri St.,MVC,17-15,107.74751148315084,103.83354764571465,0.6048027772635248,2018,3
125,Bradley,MVC,19-13,103.83495775089523,100.0884428683232,0.6041070106335722,2018,3
126,Wyoming,MWC,19-13,104.43458044990516,100.82056903408801,0.5998913139560678,2018,3
127,UT Arlington,SB,20-13,104.64838103076755,101.40767319242623,0.589465930282351,2018,3
128,Harvard,Ivy,17-13,101.22447505117947,98.30946127377545,0.5832266923564579,2018,3
129,Rutgers,B10,14-19,97.6441956217424,94.92375385133886,0.5805293306290952,2018,3
130,Florida Gulf Coast,ASun,20-11,106.0288129313463,103.07537508496276,0.5805128728451453,2018,3
131,La Salle,A10,13-19,104.62153554065279,101.77991323100292,0.5785128418099618,2018,3
132,VCU,A10,18-15,105.4916410703972,102.7780685060701,0.5743659720445705,2018,3
133,UC Irvine,BW,16-17,99.38974323181387,96.85590781463077,0.573704610622036,2018,3
134,Utah St.,MWC,16-17,106.33356321520117,103.72270319469601,0.5709895087979685,2018,3
135,Wright St.,Horz,23-9,99.83675663500179,97.39216732848922,0.5707942070989264,2018,3
136,Saint Louis,A10,16-16,101.55942663166499,99.09950115149942,0.5700307451025641,2018,3
137,Eastern Michigan,MAC,17-12,101.78252440604354,99.73131823316841,0.5582652742633214,2018,3
138,College of Charleston,CAA,24-7,107.84343398832856,105.76184478823062,0.5558022490471126,2018,3
139,UC Davis,BW,20-10,103.11038202031443,101.13879062002087,0.5552788549880532,2018,3
140,Evansville,MVC,15-15,97.35681422262007,95.49724014350507,0.5552193082203873,2018,3
141,Memphis,Amer,21-13,107.67998376180864,105.66777735632643,0.5540215036521146,2018,3
142,Canisius,MAAC,21-11,106.22630451749411,104.29776779694016,0.552481179797558,2018,3
143,San Francisco,WCC,17-15,102.0630079342836,100.24051689852523,0.5516168604284963,2018,3
144,Drake,MVC,16-16,105.63251276840536,103.7769847406471,0.5507750970846539,2018,3
145,Dayton,A10,14-17,108.82975827691769,106.91917778886184,0.5507455580335537,2018,3
146,Indiana St.,MVC,11-18,103.31817444086573,101.84822735563847,0.5411045114556248,2018,3
147,Idaho,BSky,20-9,108.16459716405748,106.67918607460791,0.5396720619975467,2018,3
148,Illinois St.,MVC,17-15,104.16155600928624,102.77046211762729,0.5385779473806327,2018,3
149,Southern Illinois,MVC,19-13,104.45436067967594,103.08276346762342,0.5379288651413213,2018,3
150,Iona,MAAC,20-13,108.56055913319335,107.22932823322581,0.5354134198148441,2018,3
151,Albany,AE,21-10,105.7805114941883,104.600748895341,0.5322001939482253,2018,3
152,Mercer,SC,16-14,110.63243850055916,109.41008035071152,0.5318987690237688,2018,3
153,Louisiana Tech,CUSA,15-16,105.79348274808876,104.79407255800749,0.5272615953012486,2018,3
154,Georgia Southern,SB,19-12,104.7743395781143,103.86312928370276,0.5250918073656174,2018,3
155,Rider,MAAC,22-9,107.10773913909912,106.27041361857974,0.5225486099599093,2018,3
156,Lipscomb,ASun,20-9,103.49457266824665,102.80260625771828,0.5192772851984151,2018,3
157,Wofford,SC,18-12,107.29569647112942,106.59823752011474,0.5187407112900342,2018,3
158,Jacksonville St.,OVC,20-12,100.24648267374792,99.68116112599344,0.5162531916252203,2018,3
159,Hofstra,CAA,18-12,109.80578981379648,109.41145221035298,0.5103418885125842,2018,3
160,UTSA,CUSA,16-14,103.91082162504378,103.83950660545881,0.5019738079458976,2018,3
161,Pacific,WCC,13-18,105.54863784957561,105.8100449350874,0.49288891215989217,2018,3
162,Weber St.,BSky,17-11,105.53970888914661,105.82099505177968,0.49234829327208,2018,3
163,Seattle,WAC,17-13,103.78451783867894,104.07561261501382,0.49194818478317354,2018,3
164,Central Michigan,MAC,17-14,107.97043899065382,108.38736743919114,0.4889213649643668,2018,3
165,Portland St.,BSky,17-13,107.0591099431723,107.47610157809717,0.4888255841267225,2018,3
166,Valparaiso,MVC,13-17,101.10057957861402,101.59522028264823,0.4859718688416935,2018,3
167,Richmond,A10,12-20,107.00459833063161,107.54789745929497,0.48544368414169925,2018,3
168,Cal St. Fullerton,BW,18-11,102.85550072746861,103.44125083427254,0.4836794538010906,2018,3
169,George Washington,A10,15-18,103.41697382481539,104.08666773939981,0.48145099453743195,2018,3
170,Oakland,Horz,19-14,105.5950210733689,106.454254008287,0.47671747084984983,2018,3
171,Tulane,Amer,14-17,105.35883796074916,106.2644056041686,0.4754145789811232,2018,3
172,Troy,SB,14-17,104.91578565728501,105.90740360847198,0.47298071978065326,2018,3
173,Fort Wayne,Sum,14-15,106.71101369707705,107.74661204334383,0.4722620121321546,2018,3
174,William & Mary,CAA,17-12,113.59022538383401,114.70328098364743,0.471994726763668,2018,3
175,Princeton,Ivy,12-16,105.07797551335867,106.11557839670641,0.47177980166528893,2018,3
176,Miami OH,MAC,14-17,99.12682806107796,100.14919793313916,0.470534004333168,2018,3
177,Ball St.,MAC,18-13,101.57353110189442,102.6552968024738,0.469580548511638,2018,3
178,Connecticut,Amer,14-18,104.0408112236099,105.45399712364207,0.46128934925431214,2018,3
179,Winthrop,BSth,16-12,104.86150528302095,106.29158104568467,0.4611349585800258,2018,3
180,Austin Peay,OVC,16-14,104.65216937101081,106.09417229838402,0.4607368039468379,2018,3
181,North Dakota St.,Sum,12-17,103.77845985493971,105.29654138715637,0.4583456163441179,2018,3
182,Towson,CAA,16-14,104.0301015280568,105.73014799316485,0.4535313701281843,2018,3
183,Duquesne,A10,16-16,104.82094724704675,106.55202305637539,0.45304706925122207,2018,3
184,Washington St.,P12,12-19,107.68283382835332,109.50684834312187,0.45185849059527483,2018,3
185,Monmouth,MAAC,11-20,102.82280532803378,104.58804522727038,0.45121718561401064,2018,3
186,Southeastern Louisiana,Slnd,19-11,102.76632599826925,104.530931920241,0.45120804189574143,2018,3
187,Wagner,NEC,21-9,102.33965746421262,104.14788096929581,0.44981517279164535,2018,3
188,Radford,BSth,20-12,101.69776557759303,103.51620386223354,0.4492225223701445,2018,3
189,Ohio,MAC,13-17,99.68290549064562,101.48103875759574,0.44878170243850035,2018,3
190,Liberty,BSth,18-14,103.11512656924734,105.08455371134984,0.4458208498008875,2018,3
191,Nicholls St.,Slnd,17-11,101.77009221620371,103.77458887898662,0.44415746311427756,2018,3
192,UNC Asheville,BSth,19-12,104.9444305445513,107.17878834915035,0.4397258154286582,2018,3
193,Hawaii,BW,15-13,99.19459092404031,101.35319888624633,0.43842134605440236,2018,3
194,North Texas,CUSA,13-17,102.2655366628987,104.59180641590314,0.4356922592463798,2018,3
195,Western Michigan,MAC,15-15,105.5412519815489,108.0107211558565,0.433894529697912,2018,3
196,Long Beach St.,BW,13-18,104.75965138624994,107.27705782538831,0.43215101883496015,2018,3
197,Denver,Sum,13-15,102.3507510595617,105.02013839247115,0.4265149446205293,2018,3
198,Yale,Ivy,15-15,102.26463868429599,105.1174704191239,0.4215491473690648,2018,3
199,UMBC,AE,21-10,101.4118439423417,104.30934469453106,0.41970920781210175,2018,3
