rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
20,20,2015-01-28,@,Notre Dame,REG (Conf),L,73,77,,28,61,0.459,7,16,0.438,21,45,0.467,0.516,10,20,0.5,12,25,37,12,7,2,10,16,29,56,0.518,8,18,0.444,21,38,0.553,0.589,11,16,0.688,6,25,31,17,6,5,11,18,0,1,0,duke,2015
21,21,2015-01-31,@,Virginia,REG (Conf),W,69,63,,28,55,0.509,6,17,0.353,22,38,0.579,0.564,7,13,0.538,10,22,32,12,4,4,8,13,26,63,0.413,3,13,0.231,23,50,0.46,0.437,8,10,0.8,12,18,30,11,4,1,7,11,1,1,0,duke,2015
22,22,2015-02-04,,Georgia Tech,REG (Conf),W,72,66,,26,57,0.456,5,18,0.278,21,39,0.538,0.5,15,24,0.625,12,24,36,13,9,4,9,16,26,56,0.464,8,11,0.727,18,45,0.4,0.536,6,12,0.5,7,22,29,11,7,3,14,20,1,1,0,duke,2015
23,23,2015-02-07,,Notre Dame,REG (Conf),W,90,60,,31,51,0.608,9,15,0.6,22,36,0.611,0.696,19,26,0.731,10,28,38,18,5,5,9,18,23,58,0.397,8,24,0.333,15,34,0.441,0.466,6,17,0.353,11,13,24,12,3,4,9,19,1,1,0,duke,2015
24,24,2015-02-09,@,Florida State,REG (Conf),W,73,70,,23,51,0.451,7,20,0.35,16,31,0.516,0.52,20,26,0.769,11,20,31,14,3,6,10,20,24,53,0.453,7,14,0.5,17,39,0.436,0.519,15,21,0.714,9,17,26,14,5,4,13,18,1,1,0,duke,2015
25,25,2015-02-14,@,Syracuse,REG (Conf),W,80,72,,27,57,0.474,7,15,0.467,20,42,0.476,0.535,19,22,0.864,10,27,37,19,5,2,15,16,29,67,0.433,8,22,0.364,21,45,0.467,0.493,6,13,0.462,11,18,29,15,8,9,9,17,1,1,0,duke,2015
26,26,2015-02-18,,North Carolina,REG (Conf),W,92,90,OT,33,65,0.508,10,16,0.625,23,49,0.469,0.585,16,31,0.516,13,30,43,18,6,7,16,16,38,83,0.458,2,10,0.2,36,73,0.493,0.47,12,20,0.6,17,29,46,21,9,4,11,26,1,1,0,duke,2015
27,27,2015-02-21,,Clemson,REG (Conf),W,78,56,,30,58,0.517,7,20,0.35,23,38,0.605,0.578,11,13,0.846,4,25,29,15,10,0,11,14,22,53,0.415,4,18,0.222,18,35,0.514,0.453,8,12,0.667,7,21,28,10,7,5,14,15,1,1,0,duke,2015
28,28,2015-02-25,@,Virginia Tech,REG (Conf),W,91,86,OT,35,59,0.593,10,23,0.435,25,36,0.694,0.678,11,22,0.5,12,17,29,18,7,4,9,17,31,58,0.534,12,22,0.545,19,36,0.528,0.638,12,15,0.8,8,16,24,18,2,3,11,19,1,1,0,duke,2015
29,29,2015-02-28,,Syracuse,REG (Conf),W,73,54,,28,58,0.483,8,23,0.348,20,35,0.571,0.552,9,16,0.563,16,24,40,18,7,6,17,10,19,62,0.306,3,20,0.15,16,42,0.381,0.331,13,17,0.765,16,18,34,10,12,2,14,14,1,1,0,duke,2015
30,30,2015-03-04,,Wake Forest,REG (Conf),W,94,51,,34,59,0.576,13,25,0.52,21,34,0.618,0.686,13,16,0.813,9,27,36,22,12,2,12,14,22,53,0.415,5,18,0.278,17,35,0.486,0.462,2,9,0.222,6,15,21,9,7,2,19,17,1,1,0,duke,2015
31,31,2015-03-07,@,North Carolina,REG (Conf),W,84,77,,27,59,0.458,9,25,0.36,18,34,0.529,0.534,21,26,0.808,12,18,30,11,7,3,10,15,28,58,0.483,8,16,0.5,20,42,0.476,0.552,13,13,1.0,10,21,31,16,5,6,15,19,1,1,0,duke,2015
32,32,2015-03-12,N,NC State,CTOURN,W,77,53,,30,53,0.566,5,13,0.385,25,40,0.625,0.613,12,13,0.923,5,17,22,14,7,6,5,15,20,56,0.357,5,18,0.278,15,38,0.395,0.402,8,13,0.615,16,15,31,12,3,3,9,11,1,0,0,duke,2015
33,33,2015-03-13,N,Notre Dame,CTOURN,L,64,74,,27,60,0.45,3,17,0.176,24,43,0.558,0.475,7,14,0.5,10,21,31,10,6,4,12,21,25,50,0.5,2,8,0.25,23,42,0.548,0.52,22,25,0.88,6,20,26,13,7,4,10,17,0,0,0,duke,2015
34,34,2015-03-20,N,Robert Morris,ROUND-64,W,85,56,,34,54,0.63,10,21,0.476,24,33,0.727,0.722,7,14,0.5,9,30,39,28,7,3,11,8,24,66,0.364,6,19,0.316,18,47,0.383,0.409,2,4,0.5,9,16,25,13,6,1,8,17,1,0,0,duke,2015
35,35,2015-03-22,N,San Diego State,ROUND-32,W,68,49,,30,55,0.545,6,14,0.429,24,41,0.585,0.6,2,2,1.0,4,27,31,16,7,6,8,12,19,58,0.328,2,13,0.154,17,45,0.378,0.345,9,11,0.818,11,19,30,5,6,5,11,8,1,0,0,duke,2015
36,36,2015-03-27,N,Utah,ROUND-16,W,63,57,,20,45,0.444,3,9,0.333,17,36,0.472,0.478,20,26,0.769,7,23,30,5,6,4,14,16,21,60,0.35,4,16,0.25,17,44,0.386,0.383,11,15,0.733,17,15,32,8,8,4,14,21,1,0,0,duke,2015
37,37,2015-03-29,N,Gonzaga,ROUND-8,W,66,52,,21,56,0.375,8,19,0.421,13,37,0.351,0.446,16,19,0.842,7,22,29,10,8,2,2,12,22,50,0.44,2,10,0.2,20,40,0.5,0.46,6,9,0.667,6,25,31,8,1,3,13,15,1,0,0,duke,2015
38,38,2015-04-04,N,Michigan State,NATIONAL-SEMI,W,81,61,,26,50,0.52,2,10,0.2,24,40,0.6,0.54,27,37,0.73,7,29,36,10,9,4,8,18,22,55,0.4,7,20,0.35,15,35,0.429,0.464,10,16,0.625,8,23,31,10,4,3,14,28,1,0,0,duke,2015
39,39,2015-04-06,N,Wisconsin,NATIONAL-FINAL,W,68,63,,24,51,0.471,4,11,0.364,20,40,0.5,0.51,16,20,0.8,6,27,33,7,4,6,5,13,25,61,0.41,7,21,0.333,18,40,0.45,0.467,6,10,0.6,9,24,33,13,3,1,5,15,1,0,0,duke,2015
1,1,2014-11-14,,Northern Kentucky,REG (Non-Conf),W,62,31,,23,47,0.489,4,17,0.235,19,30,0.633,0.532,12,20,0.6,5,35,40,13,3,5,9,9,14,53,0.264,2,16,0.125,12,37,0.324,0.283,1,5,0.2,6,19,25,4,5,1,10,19,1,1,0,wisconsin,2015
2,2,2014-11-16,,Chattanooga,REG (Non-Conf),W,89,45,,32,60,0.533,8,18,0.444,24,42,0.571,0.6,17,23,0.739,10,35,45,20,5,2,9,13,18,56,0.321,6,22,0.273,12,34,0.353,0.375,3,10,0.3,2,16,18,7,7,4,11,19,1,1,0,wisconsin,2015
3,3,2014-11-19,,Green Bay,REG (Non-Conf),W,84,60,,27,52,0.519,6,17,0.353,21,35,0.6,0.577,24,37,0.649,12,33,45,13,4,8,7,13,23,65,0.354,2,12,0.167,21,53,0.396,0.369,12,18,0.667,9,18,27,12,4,3,6,26,1,1,0,wisconsin,2015
4,4,2014-11-22,,Boise State,REG (Non-Conf),W,78,54,,31,56,0.554,10,27,0.37,21,29,0.724,0.643,6,6,1.0,8,19,27,16,5,4,5,11,21,49,0.429,7,11,0.636,14,38,0.368,0.5,5,9,0.556,5,16,21,8,3,0,11,15,1,1,0,wisconsin,2015
5,5,2014-11-26,N,UAB,REG (Non-Conf),W,72,43,,27,52,0.519,5,18,0.278,22,34,0.647,0.567,13,22,0.591,8,21,29,14,8,5,10,15,18,51,0.353,4,19,0.211,14,32,0.438,0.392,3,8,0.375,10,17,27,7,4,0,18,20,1,1,0,wisconsin,2015
6,6,2014-11-27,N,Georgetown,REG (Non-Conf),W,68,65,,21,43,0.488,6,16,0.375,15,27,0.556,0.558,20,27,0.741,10,15,25,9,6,3,13,17,25,47,0.532,6,11,0.545,19,36,0.528,0.596,9,13,0.692,6,14,20,7,8,1,15,22,1,1,0,wisconsin,2015
