player_id,player_name,ppg,team_abbrev,year
joseph-bamisile-1,Joseph Bamisile,15.0,virginia-commonwealth,2025
max-shulga-1,Max Shulga,15.0,virginia-commonwealth,2025
zeb-jackson-1,Zeb Jackson,10.8,virginia-commonwealth,2025
phillip-russell-1,Phillip Russell,10.3,virginia-commonwealth,2025
jack-clarke-1,Jack Clark,9.7,virginia-commonwealth,2025
christian-fermin-1,Christian Fermin,4.6,virginia-commonwealth,2025
luke-bamgboye-1,Luke Bamgboye,3.8,virginia-commonwealth,2025
terrence-hill-jr-1,Terrence Hill Jr.,3.4,virginia-commonwealth,2025
alphonzo-billups-iii-1,Alphonzo Billups III,2.9,virginia-commonwealth,2025
michael-belle-1,Michael Belle,2.8,virginia-commonwealth,2025
brandon-jennings-2,Brandon Jennings,2.7,virginia-commonwealth,2025
obinnaya-okafor-1,Obinnaya Okafor,0.3,virginia-commonwealth,2025
