rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2024-11-04,Yale,,Quinnipiac,REG (Non-Conf),W 88-62,,6,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,0,2,2,0,0,0,0,1,2,0.5,H,1,1,riley-fox-1,Riley Fox,2025
2,2,2,2024-11-08,Yale,@,Illinois–Chicago,REG (Non-Conf),L 79-91,,7,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,0,1,1,0,0,0,0,1,3,1.2,A,0,1,riley-fox-1,Riley Fox,2025
3,3,4,2024-11-13,Yale,,Emerson,REG (Non-Conf),W 100-46,,19,4,6,0.667,1,2,0.5,3,4,0.75,0.75,0,0,1,4,5,0,1,0,1,1,9,7.9,H,1,1,riley-fox-1,Riley Fox,2025
4,4,5,2024-11-16,Yale,@,Minnesota,REG (Non-Conf),L 56-59,,7,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,-1.1,A,0,1,riley-fox-1,Riley Fox,2025
5,5,6,2024-11-20,Yale,@,Stony Brook,REG (Non-Conf),W 86-64,,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,0,3,3,0,1,0,0,0,0,1.2,A,1,1,riley-fox-1,Riley Fox,2025
6,6,7,2024-11-23,Yale,N,Fairfield,REG (Non-Conf),W 91-66,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,N,1,1,riley-fox-1,Riley Fox,2025
7,7,10,2024-12-07,Yale,,Vermont,REG (Non-Conf),W 65-50,,8,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,0,2,2,0,0,0,0,1,2,-0.2,H,1,1,riley-fox-1,Riley Fox,2025
8,8,11,2024-12-20,Yale,N,Akron,REG (Non-Conf),W 74-58,,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,N,1,1,riley-fox-1,Riley Fox,2025
9,9,12,2024-12-21,Yale,@,UTEP,REG (Non-Conf),L 74-75,,26,7,12,0.583,5,8,0.625,2,4,0.5,0.792,0,0,1,4,5,0,0,1,0,2,19,15.2,A,0,1,riley-fox-1,Riley Fox,2025
10,10,13,2025-01-01,Yale,,Howard,REG (Non-Conf),W 93-65,,15,4,6,0.667,3,5,0.6,1,1,1.0,0.917,0,0,0,1,1,0,0,0,0,3,11,7.5,H,1,1,riley-fox-1,Riley Fox,2025
11,11,14,2025-01-11,Yale,,Brown,REG (Conf),W 79-58,,14,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,0,0,0,0,2,0,0,0,4,4.0,H,1,1,riley-fox-1,Riley Fox,2025
12,12,15,2025-01-18,Yale,@,Columbia,REG (Conf),W 92-88,,7,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,0,0,0,0,0,0,0,2,0,-2.2,A,1,1,riley-fox-1,Riley Fox,2025
13,13,16,2025-01-20,Yale,,Dartmouth,REG (Conf),W 83-67,,8,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,0,3,3,0,0,0,1,2,3,0.4,H,1,1,riley-fox-1,Riley Fox,2025
