team_abbrev,team_name,year,seed,wins,exit_round,adj_o,adj_d,adj_em,barthag,wab,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,fg3_pct,fg3_d_pct,ft_pct,off_cv,off_mean,off_range_80_20,pct_games_above_mean_o,def_cv,efg_cv,to_cv,to_std,margin_std,margin_mean,pct_games_close,pct_games_blown,off_win_loss_gap,off_last10_std,off_last10_mean,off_rating_vs_tier1_mean,off_rating_vs_tier3_mean,efg_vs_tier1_mean,efg_vs_tier3_mean,to_vs_tier1_mean,to_vs_tier3_mean,or_vs_tier1_mean,or_vs_tier3_mean,off_rating_dropoff_t1_vs_t3,efg_dropoff_t1_vs_t3,to_dropoff_t1_vs_t3,or_dropoff_t1_vs_t3,n_tier1_games,off_neutral_mean,home_away_gap,home_neutral_gap,win_pct_neutral,star_pts_cv,star_pts_mean,top8_pts_cv_mean,top8_pts_cv_max,star_fg_pct_cv,star_fg_pct_mean,top8_fg_pct_cv_mean,top8_fg_pct_cv_max,top8_fg3_pct_cv_mean,top8_fg3_pct_cv_max,top8_ft_pct_cv_mean,top8_orb_cv_mean,top8_orb_cv_max,top8_blk_cv_mean,top8_blk_cv_max,top8_stl_cv_mean,top8_stl_cv_max,top8_pts_cv_std,top8_pts_mean_std,star_pts_reliable_pct,team_fg2_pct_cv,team_fg3_pct_cv,team_ft_pct_cv,team_pts_cv,team_orb_cv,team_drb_cv,team_trb_cv,team_ast_cv,team_stl_cv,team_blk_cv,team_tov_cv,team_pf_cv,team_pts_allowed_cv,team_opp_fg3_pct_cv,team_opp_ft_pct_cv,team_opp_orb_cv,team_opp_tov_cv,team_opp_blk_cv,team_ast_to_ratio_cv,team_opp_efg_cv,off_rating_vs_tier2_mean,efg_vs_tier2_mean,to_vs_tier2_mean,or_vs_tier2_mean
baylor,Baylor,2021,1,6,Champion,123.31818487137,93.538584326633,29.779600544736994,0.96001826027413,6.6796560144947,57.5,49.1,17.6,24.6,37.5,30.9,27.0,31.7,41.8,34.0,69.7,0.12815187716877985,120.84090909090907,30.83999999999999,0.4090909090909091,0.14072135698041874,0.13326710418823517,0.33446323800305505,5.7117199326248995,8.82467765987786,9.400549545454545,0.36363636363636365,0.0,29.376190476190473,13.052820044385472,119.95,116.88,124.8,56.86999999999999,59.72727272727273,17.590000000000003,17.027272727272727,36.230000000000004,38.68181818181818,7.920000000000002,2.8572727272727363,-0.5627272727272761,2.451818181818176,10,128.86666666666667,10.339772727272731,-4.939393939393938,1.0,0.3726991598296647,17.136363636363637,0.5776284470810858,0.8536296562819304,0.3304847628866284,0.49640909090909086,0.4329841142632838,0.6184046219997026,0.7175152161746616,0.8773368213025419,0.4852508638417473,1.0674450656065178,1.624807680927192,1.6204036367741448,2.3250192011495914,1.2198368665301773,2.5758339688187664,0.16201388135415065,4.586721320901059,0.6363636363636364,0.11805632672569692,0.24176570638482459,0.21659306557205532,0.15908724817594622,0.36990487225969954,0.2083698744030513,0.20175461733420552,0.32347621771302754,0.34544855731035046,0.5503461985123979,0.3427202163433923,0.22135245662271305,0.16791453846691257,0.34653323575708433,0.2342680067196715,0.39100680365031454,0.33485902966343656,0.5694409877667334,0.580361921926111,0.1731547997528693,,,,
gonzaga,Gonzaga,2021,1,5,Runner-up,125.3409182426,89.617798108665,35.723120133935,0.97932745259835,8.4963882133173,61.0,47.5,16.1,20.3,30.4,23.4,36.7,25.9,36.5,32.5,72.6,0.09292568147347988,122.75416666666668,16.879999999999995,0.375,0.10516557407396034,0.0895542308918826,0.24760370543490898,4.011180028045525,7.134718421910909,12.37906375,0.16666666666666666,0.0,,10.329467018626321,120.57000000000001,119.39999999999999,126.0,60.25,61.323076923076925,14.983333333333334,15.592307692307694,28.416666666666668,32.1,6.6000000000000085,1.0730769230769255,0.6089743589743595,3.6833333333333336,6,121.92,2.785714285714292,2.0799999999999983,1.0,0.3144555091341027,18.916666666666668,0.57807168502733,1.0754631426479027,0.19928038590934502,0.659875,0.3972235461073649,0.7432973614957875,1.2896264109164874,2.4156609797881434,0.3466103937036709,1.4097117119973823,2.443091412979447,2.085911455887513,4.472135954999578,1.037338447889777,2.051956704170308,0.2489524505122193,5.627039944863795,0.5416666666666666,0.11541947422816994,0.2822348552805062,0.11267071055123791,0.10963451546995728,0.5171972126626292,0.16301821985085715,0.21892373587986416,0.2933962398318378,0.2893138723446862,0.5897678246195885,0.2622904799424354,0.2148518013675475,0.15321122115105132,0.299990328326318,0.19413432163186484,0.35748869895505364,0.1778272395202554,0.5457608022675232,0.5185807508022945,0.1407603849766402,118.33999999999999,62.14,19.240000000000002,25.659999999999997
ucla,UCLA,2021,11,4,F4,114.24304449545,96.169271088545,18.07377340690499,0.8787355277956,2.6365781486699,52.0,50.7,16.7,17.6,30.8,24.2,32.6,28.0,36.7,35.1,72.1,0.11490565503142161,108.38799999999999,19.939999999999998,0.52,0.10639948227229949,0.1434956515024335,0.2776868990616728,4.624042243174976,5.940553890275995,1.73916644,0.6,0.0,10.166176470588226,12.725691424131822,103.21,103.5,109.14999999999999,49.5125,55.025,16.775,17.825000000000003,29.4375,29.6875,5.6499999999999915,5.512499999999996,1.0500000000000043,0.25,8,111.30000000000001,9.99333333333334,1.2333333333333343,0.3333333333333333,0.546589183078028,14.15,0.5871546252389659,0.9131869655112725,0.3681331288523238,0.4022,0.4752458307747121,0.7735513904579088,0.8699986478179451,1.2152732944658922,0.36275779495427035,1.5020581942664328,3.461093276215864,1.882761926737626,2.7638539919628333,1.2060771459498771,1.7714005990471289,0.1595894477881954,2.887091588347376,0.45,0.14324618380565804,0.3135832399513126,0.20672284206233443,0.1670021439804703,0.37108364893150914,0.21420228601434563,0.1982539853904605,0.29547812401705764,0.454322293257579,0.6457935279062837,0.29788142208787155,0.2549159610452294,0.16333911025094927,0.3057118691497639,0.16598407682506663,0.43519413988924466,0.2888308505606845,0.4944418966022664,0.41074509189546815,0.13172342553255342,112.05555555555556,52.800000000000004,15.5,30.066666666666663
houston,Houston,2021,2,4,F4,119.00224232547,89.406321656388,29.59592066908199,0.96402995500882,4.0432421643717,51.3,42.9,16.3,21.6,39.4,28.0,30.7,42.4,35.5,28.5,74.3,0.128119747468429,114.32173913043476,21.10000000000001,0.43478260869565216,0.137508053688765,0.1554267803594965,0.27234691833204666,4.506749439877259,7.562017089440084,9.302728043478261,0.34782608695652173,0.0,11.870000000000005,17.62827274579107,119.46,,120.51538461538462,,53.60000000000001,,16.269230769230766,,40.28461538461538,,,,,2,,7.676785714285728,,,0.40672993706739596,17.863636363636363,0.6858746326851843,1.5042996280962273,0.29527262281795996,0.38672727272727275,0.5057059459289345,0.8474013672185332,0.7956632739276702,1.1319381539786206,0.38851506924560597,0.9878868786238456,1.5811388300841895,2.1856379196329474,4.58257569495584,1.271144899369775,2.8030595529069404,0.349330949920766,3.88054767025494,0.5454545454545454,0.18722513575422098,0.2146350096629454,0.17367996415448517,0.15786857626820858,0.3125569083321967,0.20961505838411582,0.20487087371533583,0.40956127295495964,0.38594664745363766,0.5021548964858138,0.27801921874276636,0.2026853246439233,0.14636699506336287,0.41387208885129617,0.18179281094506464,0.3464263233822623,0.2885038177708679,0.8540316205346932,0.82147061701372,0.1800410244481495,107.8125,46.462500000000006,16.5625,37.625
southern-california,USC,2021,6,3,E8,113.30117481458,90.243071038522,23.05810377605799,0.93193127757197,5.5396927708612,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,34.8,34.2,64.7,0.10203105221965106,108.32222222222221,16.459999999999994,0.5185185185185185,0.13364275156374064,0.14662425203160837,0.23222715110561287,4.262658373627472,7.677933992456217,4.381120037037037,0.4074074074074074,0.0,17.235714285714266,11.71551677619615,106.4,101.88333333333333,114.79,49.81666666666666,52.839999999999996,17.066666666666666,17.51,27.96666666666667,41.349999999999994,12.90666666666668,3.0233333333333334,0.44333333333333513,13.383333333333326,6,104.25,9.663333333333327,8.263333333333321,,0.32598033813508465,16.074074074074073,0.5570088807015121,0.809244065944869,0.23294023365661876,0.593,0.4786467098816437,0.7630697775339265,1.1092741803171113,1.380281190029542,0.4601864935716163,1.1479366356241456,2.2659282263618414,1.9142187091770446,4.358898943540673,1.3499683745363456,1.8567962482976708,0.14117525169927128,3.896281731490205,0.5925925925925926,0.1440866774509409,0.37580666071529173,0.13751504264041398,0.15105468247131315,0.34508478471754767,0.18367479053111552,0.16627922574161177,0.3477849677212633,0.49382925360749813,0.4991548381616822,0.2324774433177771,0.2240335945993251,0.16661511540282517,0.40518984644567263,0.24515760767125408,0.3843699958799233,0.2508726030021272,0.6856393565455416,0.3853946210249252,0.1897912362937263,105.95454545454545,52.10909090909092,19.827272727272728,36.4
arkansas,Arkansas,2021,3,3,E8,110.04788052488,91.278241769085,18.769638755795,0.89571882629261,4.554536910334,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,33.9,32.6,73.7,0.15936451123782638,109.99615384615385,21.200000000000003,0.5,0.13649646640318133,0.17630536565531812,0.2700134701483662,4.588151965828776,10.117232158893408,4.241160130769231,0.46153846153846156,0.07692307692307693,23.320952380952377,11.308580812816436,108.11999999999998,100.96363636363635,122.1125,47.67272727272728,56.75,17.418181818181818,15.0,26.772727272727273,33.9625,21.148863636363643,9.077272727272721,-2.418181818181818,7.189772727272725,11,,3.392810457516319,,,0.3854421643442466,17.46153846153846,0.6836859637229833,1.2295326354552334,0.4297999142209417,0.4381153846153846,0.508147323749782,0.923881463994502,1.026422532097064,1.8358568490953673,0.43850050340981295,1.227940543652542,2.041241452319315,2.1954306762617533,5.000000000000002,1.2151364215326828,2.157532830959164,0.26178697293618464,3.9303486857300736,0.5384615384615384,0.1742311453327329,0.29264335527778,0.13976446328913536,0.19620863606198907,0.42370989626094574,0.2205431035386707,0.20009093318600335,0.3362538723444931,0.3135256397915373,0.4345309062511131,0.29083058083041885,0.20949700031327365,0.1822647955820488,0.373645424420932,0.18952110872850023,0.2539650958226224,0.3184894351840136,0.6888511370698361,0.5726076977157607,0.18614312053239207,110.34285714285714,52.32857142857143,18.599999999999998,35.48571428571429
oregon-state,Oregon State,2021,12,3,E8,109.11844258365,98.394320346036,10.724122237613996,0.76668465943008,0.379675229577,48.7,50.4,17.2,18.5,29.8,29.4,34.0,38.2,34.6,31.4,76.0,0.12989721527113984,103.056,19.840000000000003,0.52,0.12501912063760034,0.12130995570665326,0.31453165970062413,5.409944546850735,6.694880320289998,-1.3272268399999998,0.6,0.12,14.81923076923077,13.945612611538838,101.47,89.43333333333332,110.14000000000001,42.61666666666667,49.29,17.333333333333332,15.629999999999999,24.933333333333337,30.369999999999997,20.706666666666692,6.673333333333332,-1.7033333333333331,5.43666666666666,6,,8.409999999999997,,,0.3544775699716121,15.538461538461538,0.650050846522731,0.9226050075736637,0.3315475235894412,0.4121923076923077,0.5532120544634507,0.8813038509786836,1.11060229690241,2.6457513110645907,0.3877918249710972,1.5335720908448258,3.587417625171525,2.435465516644759,5.099019513592783,1.685965182457402,2.9486267990371378,0.21342131449882304,3.863087721701661,0.6923076923076923,0.1876141583674122,0.32402874978672136,0.15230365515927857,0.19098135915558656,0.35543550785461103,0.20865604839073715,0.19244713874933392,0.32559825024386874,0.494368283772331,0.6445823607213329,0.3058312922457622,0.19074284388928447,0.17360316065934905,0.36399514586774995,0.17713243946101556,0.4427441333753735,0.3055769524563526,0.6530095462106945,0.6023770687309712,0.18433774765135985,104.26666666666667,50.31111111111111,18.855555555555558,31.522222222222222
michigan,Michigan,2021,1,3,E8,117.66756726568,90.811137365481,26.856429900199004,0.95163647004007,7.0648254920579,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,38.7,33.5,77.8,0.1383165128043911,111.84999999999997,23.36,0.5454545454545454,0.1189704108346909,0.1326114976366655,0.2927479705805849,4.936795322063499,6.545359852365223,5.196794727272727,0.36363636363636365,0.0,30.08596491228066,15.732658883849084,109.71,111.46,114.16666666666667,53.61999999999999,58.26666666666667,15.290000000000001,18.466666666666665,26.689999999999998,30.899999999999995,2.7066666666666777,4.6466666666666825,3.176666666666664,4.209999999999997,10,,3.221428571428561,,,0.43200001230682655,14.272727272727273,0.5384089187553178,0.8148418092926109,0.35596297198829063,0.5902272727272727,0.46028926284277627,0.6792366642679781,0.7945007311920841,0.9728833730787924,0.43062957007936703,1.131267291249209,2.018433569398328,1.5616217498726017,2.226731535981231,1.6012844892037776,2.575833968818766,0.15213389069761185,3.6255245149848547,0.6363636363636364,0.1772456673523972,0.22982121328586325,0.13717878394389585,0.14915726266454649,0.32118776085472256,0.15444889711073598,0.13946634908746128,0.32904903832910753,0.45715354840248007,0.5540492123773546,0.3410332850344849,0.23023808562844097,0.1493107008369168,0.3876511639132985,0.15696046987659648,0.4456513117033833,0.3029752921353904,0.7171371656006362,0.45330442300683566,0.1644849289183446,111.51111111111112,55.7,18.07777777777778,31.755555555555556
villanova,Villanova,2021,5,2,S16,118.50244484495,97.153275952568,21.34916889238201,0.90757699665378,3.0598262489824,52.8,51.8,13.5,19.0,27.9,24.8,30.0,25.8,35.2,35.4,76.5,0.14781724488527928,113.69047619047622,25.799999999999997,0.47619047619047616,0.12012487971048036,0.17519123883519716,0.28412293912501413,3.8735427367376927,6.830923299434934,3.099265380952381,0.42857142857142855,0.0,24.977500000000006,20.57428006030831,109.48999999999998,112.56666666666666,119.76666666666667,52.43333333333334,54.96666666666667,13.511111111111111,12.416666666666666,26.455555555555556,31.08333333333334,7.200000000000003,2.5333333333333314,-1.094444444444445,4.6277777777777835,9,118.4,14.700000000000003,1.0999999999999943,0.75,0.4384637604600191,15.19047619047619,0.6662344089349174,1.1469747318502528,0.38375091057708605,0.47580952380952385,0.5238331393977426,0.8312761120904754,1.1020808838453484,2.4494897427831783,0.408701162080102,1.4743797562821388,2.3874672772626644,2.5479571082885366,4.582575694955842,1.559086376827064,2.9953667926019047,0.26142425705170497,4.253187942214664,0.5714285714285714,0.15659224120684184,0.306439843635656,0.1490619505677363,0.1410470661696066,0.34268075687187277,0.18952359198577867,0.17115471484724384,0.33937594150934436,0.41752658803842296,0.8201562351162128,0.26830017171705695,0.22912878474779202,0.12839352634646245,0.26011588487444454,0.24770464842657303,0.4042543136374898,0.22460228656043865,0.760116950066092,0.4519346941424587,0.14513533446962792,109.3,51.76666666666666,15.033333333333337,27.25
oregon,Oregon,2021,7,2,S16,114.05074334564,96.069445737748,17.981297607892003,0.87794151330442,4.7512246944477,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,37.9,33.6,70.4,0.10597826509170412,109.63333333333333,18.840000000000003,0.4583333333333333,0.12894506775121953,0.14341818524342018,0.25133586942651037,4.27899317698634,7.247225418468149,2.238276375,0.5,0.041666666666666664,12.395789473684218,14.511240853597293,112.05000000000003,106.14285714285714,110.71111111111111,52.01428571428571,54.87777777777778,17.0,18.377777777777776,29.32857142857143,32.13333333333333,4.56825396825397,2.8634920634920675,1.3777777777777764,2.8047619047619037,7,112.0,-0.9846153846154095,-2.9846153846153953,,0.3596717264270207,17.318181818181817,0.5318544338642429,1.0035802463438084,0.2685207745902986,0.5232272727272728,0.45307688646185557,0.7932477302690987,0.9026445787346488,1.5938546507049929,0.4837158366607344,1.4802279582893232,4.8989794855663575,1.7060333386836393,2.7026556987687047,1.2237705248163828,1.991285361595456,0.21404246524397275,4.898480427374084,0.45454545454545453,0.17774987045727575,0.27580116063916454,0.13406666266757128,0.10624935217787797,0.36227107286106064,0.22391512286793594,0.1922765019234614,0.3265177398155077,0.3642222152477749,0.57556224498583,0.293147693625989,0.23104545246141667,0.13692923536294788,0.3388619934445727,0.13843244762109988,0.4491965764078637,0.25727592190156706,0.6366459001328343,0.3457606830549849,0.1782576713107082,111.475,56.087500000000006,15.525,26.1875
