team_abbrev,team_name,year,seed,wins,exit_round,adj_o,adj_d,adj_em,barthag,wab,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,fg3_pct,fg3_d_pct,ft_pct,off_cv,off_mean,off_range_80_20,pct_games_above_mean_o,def_cv,efg_cv,to_cv,to_std,margin_std,margin_mean,pct_games_close,pct_games_blown,off_win_loss_gap,off_last10_std,off_last10_mean,off_rating_vs_tier1_mean,off_rating_vs_tier2_mean,off_rating_vs_tier3_mean,efg_vs_tier1_mean,efg_vs_tier2_mean,efg_vs_tier3_mean,to_vs_tier1_mean,to_vs_tier2_mean,to_vs_tier3_mean,or_vs_tier1_mean,or_vs_tier2_mean,or_vs_tier3_mean,off_rating_dropoff_t1_vs_t3,efg_dropoff_t1_vs_t3,to_dropoff_t1_vs_t3,or_dropoff_t1_vs_t3,n_tier1_games,off_neutral_mean,home_away_gap,home_neutral_gap,win_pct_neutral,star_pts_cv,star_pts_mean,top8_pts_cv_mean,top8_pts_cv_max,star_fg_pct_cv,star_fg_pct_mean,top8_fg_pct_cv_mean,top8_fg_pct_cv_max,top8_fg3_pct_cv_mean,top8_fg3_pct_cv_max,top8_ft_pct_cv_mean,top8_orb_cv_mean,top8_orb_cv_max,top8_blk_cv_mean,top8_blk_cv_max,top8_stl_cv_mean,top8_stl_cv_max,top8_pts_cv_std,top8_pts_mean_std,star_pts_reliable_pct,team_fg2_pct_cv,team_fg3_pct_cv,team_ft_pct_cv,team_pts_cv,team_orb_cv,team_drb_cv,team_trb_cv,team_ast_cv,team_stl_cv,team_blk_cv,team_tov_cv,team_pf_cv,team_pts_allowed_cv,team_opp_fg3_pct_cv,team_opp_ft_pct_cv,team_opp_orb_cv,team_opp_tov_cv,team_opp_blk_cv,team_ast_to_ratio_cv,team_opp_efg_cv
duke,Duke,2026,1,0,R64,126.95544470065,90.865795932476,36.089648768174,0.97908607386248,13.69469539508,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,35.1,30.4,72.4,0.11909119026233288,122.9967741935484,21.5,0.45161290322580644,0.11486641170165049,0.12145056993757632,0.24162226221846037,3.7155268515980664,7.097420803226712,8.21932164516129,0.45161290322580644,0.0,12.984482758620715,17.92434719096409,123.30000000000003,115.77333333333334,132.62857142857143,127.54444444444445,54.62666666666665,59.34285714285714,60.82222222222223,15.106666666666666,14.214285714285717,16.733333333333334,32.96666666666666,42.10000000000001,39.955555555555556,11.77111111111111,6.195555555555579,1.6266666666666687,6.988888888888894,15.0,113.97999999999999,1.7709090909091003,11.500000000000043,0.8,0.2523342727719815,22.741935483870968,0.5786378182498798,0.7555731546872206,0.2448079413247728,0.5877741935483871,0.485746449120718,0.7069889547619862,1.0898331264646246,1.946752729246591,0.4764224773023215,1.44205224725577,2.64102252924885,2.485531051835883,5.567764362830022,1.115737883150943,1.2973408701391216,0.189977274289861,6.5307511868745225,0.6774193548387096,0.14441343951294072,0.23756754393143129,0.14893370018910265,0.15484891709246534,0.3434184046560556,0.18724637057975993,0.17870403926442005,0.23416216875075266,0.37080992435478316,0.8339362898026058,0.3219515095088644,0.180915930638995,0.1662618317443297,0.3029524168402234,0.22630606286673585,0.47685088471649884,0.3201470964194611,0.6424899548186496,0.4530749712084144,0.19044439184642145
siena,Siena,2026,16,0,R64,106.38951347583,108.23543758999,-1.845924114159999,0.45070542378348,-7.7360791317367,50.6,48.6,16.0,17.1,31.9,29.0,34.2,27.2,30.4,32.8,76.9,0.12338701569999318,109.84838709677419,21.799999999999997,0.5161290322580645,0.12650064064641792,0.171831838136426,0.2808754186657938,4.478603853112963,7.980189973439407,2.0499695709677423,0.45161290322580644,0.0967741935483871,14.053181818181812,16.023052837153795,109.96,,,110.60333333333331,,,51.900000000000006,,,16.04,,,31.55333333333333,,,,,1.0,104.95,10.788461538461505,11.18846153846151,,0.33317457021110475,17.516129032258064,0.6901775932064531,1.2232546750370503,0.32325429718325743,0.47725806451612907,0.5931346883466263,0.9597661782731091,0.9826056689645082,1.3454922912785894,0.3233636362366367,1.709819364950019,2.64102252924885,3.84632189348501,5.567764362830026,1.4658994164303472,3.078239034830719,0.2963409963492759,4.7390824486877765,0.5806451612903226,0.1784365668188119,0.3824769806277219,0.17693583200668844,0.10733605082653785,0.4501315230856997,0.20206485150277828,0.18279220049829373,0.34078096727684193,0.5456065636961908,0.5525074540738987,0.28786625283009853,0.2569721877396898,0.15695944682814447,0.3102023871674297,0.19406273502197838,0.35726470167250496,0.38344915927348633,0.6231085778600399,0.745182891418871,0.1693128718868883
ohio-state,Ohio State,2026,8,0,R64,124.16766536396,101.71627926892,22.451386095039993,0.90834747409735,2.9650773673739,56.5,50.3,15.4,15.8,30.8,30.0,37.8,35.1,36.0,31.6,77.5,0.13495030966964858,118.69677419354838,32.0,0.5161290322580645,0.08770997043670886,0.19252499230756598,0.2934490094973941,4.517221526843757,7.965760968540496,3.5838410322580643,0.4838709677419355,0.0,23.188636363636363,19.004514083647482,117.96,111.96153846153847,113.11428571428571,130.20909090909092,53.23846153846153,51.614285714285714,65.31818181818181,13.915384615384616,15.942857142857141,16.790909090909086,26.5,33.471428571428575,35.62727272727273,18.24755244755245,12.079720279720284,2.87552447552447,9.127272727272732,13.0,105.56666666666668,8.48074866310158,17.868627450980355,0.3333333333333333,0.36004847813525204,20.096774193548388,0.6659494867315722,1.105137069782369,0.2555231534490675,0.5663225806451612,0.47950697606465054,0.7377548700773475,0.9558218567016448,1.463269944049651,0.36557247910864055,1.2229076594789814,1.8618986725025253,2.03045544136365,2.9397236789606564,1.4370224075715354,2.8823067684915684,0.2972455597918607,5.414672981584788,0.5483870967741935,0.1963083333598119,0.31013138880110064,0.12914301124304514,0.17799237348047883,0.47377084250821927,0.21476644488918684,0.21961730726612716,0.3223780715857806,0.3661781665758126,0.5624391325092678,0.34451728929684555,0.16367964991189687,0.1482592795971565,0.22031693004521066,0.160460330607151,0.3914172747761616,0.35891984398081794,0.7298909101644853,0.4418946536770974,0.12818432302140148
texas-christian,TCU,2026,9,0,R64,113.99659248645,99.075457510752,14.921134975697996,0.83386879564722,2.4125443125665,50.9,51.0,15.5,19.7,34.4,29.2,38.7,30.4,33.1,33.7,70.8,0.1264902431188005,110.5,20.60000000000001,0.4838709677419355,0.12439427360740477,0.14041530078007394,0.2580655820074739,4.037477653987898,8.335699382633846,1.5933289903225807,0.5161290322580645,0.0967741935483871,11.898095238095237,12.064898581329963,108.12,105.38333333333333,107.2,117.54166666666669,49.89166666666666,47.57142857142857,53.29999999999999,15.924999999999999,14.700000000000001,15.916666666666666,29.483333333333334,34.5,38.141666666666666,12.15833333333336,3.4083333333333314,-0.00833333333333286,8.658333333333331,12.0,105.05000000000001,2.8936842105263167,6.823684210526295,,0.38114178591600856,13.6,0.5386804655486048,0.7457200410540338,0.39313106763037714,0.5105000000000001,0.4589605051778271,0.6277807219908805,1.0134911048012512,1.6619219560800365,0.4246309441190096,0.9909380446744026,1.4425735747331982,1.902051487170007,3.0512857662936446,1.0602976666609334,1.3474504817782642,0.11520091760844445,2.1557604671735304,0.5,0.17582367732457918,0.32291335293467643,0.13922733829738101,0.17060847913893795,0.3637713766500648,0.18303022198324023,0.19454899773448994,0.35050706016077077,0.3556997559453064,0.5995167135744196,0.24441210824010517,0.2757626999190911,0.19410747457824082,0.2333855800350778,0.2279344529040497,0.37913832102245737,0.26998251879208035,0.5184566331670946,0.5212636437786538,0.1536784206807934
st-johns-ny,St. John's (NY),2026,5,0,R64,119.83029173474,94.508224722418,25.322067012321995,0.93877273801032,7.3365051735945,51.0,47.4,14.7,19.4,35.9,30.2,41.9,31.8,33.2,31.3,72.7,0.13651209868813044,114.26129032258065,21.60000000000001,0.5161290322580645,0.10806178212268697,0.1968752001765523,0.3048550469379763,4.4784189798565945,6.6734388445303425,4.706880168064516,0.4838709677419355,0.03225806451612903,16.981333333333353,14.494658019805474,105.82000000000001,111.57777777777778,113.58666666666666,119.15714285714284,49.52222222222222,49.72000000000001,54.82857142857143,14.788888888888888,13.986666666666668,16.071428571428573,33.57777777777778,35.02,39.714285714285715,7.579365079365061,5.306349206349211,1.282539682539685,6.1365079365079325,9.0,114.925,2.6252941176470586,0.2102941176470523,0.25,0.420503170816424,16.0,0.588947752749552,0.8490190417966686,0.27080117164024703,0.5349032258064517,0.48063289736324977,0.8182765561381805,0.9915162805437954,1.2594585421755244,0.4056659727364214,1.1626230211827906,1.7832769354064135,1.7617684447415645,2.9960291180478325,1.2106118246540887,1.7593769941110988,0.16050834658951832,3.475038732728416,0.5483870967741935,0.20808086839144851,0.3197112061419672,0.09517739440910938,0.1634697594447849,0.2874797872880345,0.2188509646374613,0.16534414053816943,0.2667767396895356,0.42738651287729174,0.4665210048484487,0.3284716966342905,0.21181577432854157,0.1632996746743704,0.29738154638738906,0.1896263440380219,0.5042118194365884,0.36149400640490104,0.5929754465785022,0.423468018530888,0.15425436121438166
northern-iowa,Northern Iowa,2026,12,0,R64,108.32761035733,97.665155908026,10.662454449304008,0.76702262452524,-5.2539964820911,54.2,47.2,14.6,18.1,22.0,26.3,25.7,29.3,34.9,28.9,69.7,0.14149458055345257,106.31333333333332,23.099999999999994,0.4666666666666667,0.11961641541474706,0.15559999988368842,0.3907309653759958,5.634340520721859,6.321335860692651,3.0813270000000004,0.6,0.0,16.34166666666667,18.431904706543786,113.67999999999999,,106.3,106.81599999999999,,49.925,53.955999999999996,,11.2,14.995999999999999,,20.125,22.104,,,,,1.0,106.05,7.347916666666663,3.4312499999999915,,0.43294559611621175,13.193548387096774,0.6638468015181251,1.0685776215761462,0.4139049578891867,0.43354838709677423,0.5739342659708963,0.8978519858215838,1.043612870782619,1.5874507866387542,0.5113532593982333,1.6899590457039422,3.313482558678507,2.005318561515621,3.105550586360565,1.3122876225655136,2.1600297128302737,0.23644448317365635,3.4008596647549236,0.6129032258064516,0.16959677960220024,0.3062467218458286,0.22016591800387275,0.17762514623016815,0.3577064934061865,0.1622621891572765,0.14741604745356576,0.3421965517316134,0.4735685079063519,0.6130076617398845,0.36551564296215405,0.26451796584222426,0.18092323465824744,0.3442326828172884,0.21162633591853985,0.48971594175101674,0.38184574872017696,0.5878273094966587,0.8875589240876403,0.2051225159343113
kansas,Kansas,2026,4,0,R64,117.92049642523,93.753675851953,24.166820573276993,0.93323059130875,6.3149308983403,51.6,45.2,15.5,14.0,29.5,30.1,32.6,27.7,35.0,30.7,76.7,0.1317043183046498,110.93870967741935,21.299999999999997,0.45161290322580644,0.12924707263562543,0.15370176307827554,0.31222621142465234,4.870728898224576,7.72927499710432,3.720549451612903,0.4838709677419355,0.03225806451612903,19.32777777777777,15.203526637666084,102.35,107.73125,106.61428571428573,121.1375,50.725,48.957142857142856,59.45,14.53125,17.32857142857143,16.225,26.00625,33.642857142857146,31.5875,13.40625,8.725000000000001,1.6937500000000014,5.581249999999997,16.0,108.45,13.175000000000011,8.225000000000009,0.75,0.27460844840356785,19.85,0.6835579915991261,1.29390372563459,0.34231533474286835,0.47204999999999997,0.5848311603743942,1.0237435787050275,0.9666985150582937,1.560434137524641,0.369775983971596,1.5094837861120638,3.8056219755369374,1.6434386575598543,2.3180451534284945,1.4566506423990842,2.0209943458497373,0.35129373710829126,5.713728141816667,0.65,0.20227880706491602,0.26403479155986415,0.12704875804106833,0.1563453956031174,0.39420000703993757,0.19536411921807278,0.17657375265339692,0.3043835704633863,0.4844573891868265,0.3976190054379807,0.32284098717103676,0.28618391738163984,0.18806707078444498,0.2773282945600823,0.189712694903984,0.3327888822178036,0.36886221150046744,0.6423517266581764,0.6908146621403657,0.1685698179297608
california-baptist,Cal Baptist,2026,13,0,R64,107.1823306737,100.79966068447,6.382669989229996,0.66952972079031,-2.3428049861701,48.6,46.4,18.1,17.1,37.8,27.2,36.1,37.1,33.7,29.7,71.9,0.13398774490409524,106.88387096774194,24.19999999999999,0.5806451612903226,0.09961751236134885,0.17832799777565983,0.3756683616525518,6.765666010019989,6.765425493604046,3.884709903225807,0.5161290322580645,0.03225806451612903,16.62391304347824,17.458169052528582,105.49000000000001,,92.35,109.90384615384616,,45.925,49.642307692307696,,25.450000000000003,16.78076923076923,,31.55,38.5923076923077,,,,,1.0,96.95,4.994285714285752,13.030000000000001,,0.3881810910519147,22.566666666666666,0.608950921164559,0.9916663447138515,0.264367646740244,0.42946666666666666,0.48907394120680625,0.8687741604185528,0.8383311074579787,1.1093856061725487,0.5203962847293735,1.1637952603218584,2.4668168122471497,2.228046394393129,3.870831090777965,1.3192573087181305,1.9826836567537998,0.2000103472069371,5.802804070690533,0.4,0.22188425619006782,0.26241763856476846,0.12135407024567153,0.14981506000986985,0.37002681428481765,0.16275557549704517,0.16565787239453153,0.32284098717103676,0.5000459648877614,0.6653440724313976,0.3934343098164455,0.22255294510956325,0.15332346683056278,0.3926932065030215,0.15945956357820246,0.4849930268401483,0.33290984046200994,0.7287175730536729,0.5251969146167818,0.13960297690555176
louisville,Louisville,2026,6,0,R64,123.87376185243,97.817560645929,26.056201206500987,0.9379541313042,3.9767403238138,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,35.7,32.7,76.9,0.14255979945765987,120.13225806451614,30.200000000000003,0.45161290322580644,0.11498674103852027,0.16317472706416214,0.24675059024924434,4.018850742478822,10.884747267016534,6.8059792258064515,0.2903225806451613,0.0,23.92171717171719,13.756650916718224,120.60999999999999,112.24666666666667,118.85000000000001,132.73000000000002,53.60666666666666,54.46666666666667,63.739999999999995,15.966666666666665,16.683333333333334,16.53,29.20666666666666,36.583333333333336,34.879999999999995,20.48333333333335,10.133333333333333,0.5633333333333361,5.673333333333336,15.0,113.89999999999999,8.669518716577556,10.305882352941182,1.0,0.3290939408562113,18.7,0.6155559156334893,0.9881067063729441,0.2803522140092573,0.42250000000000004,0.493170309311632,0.8574435767345348,0.8391890510879855,1.34160394724979,0.36302845510543713,1.053897545026516,1.5893161818612198,2.306064078491523,3.8708310907779646,1.1363990119155998,1.4899839204948933,0.24460137361402878,4.54202727544633,0.5333333333333333,0.17971041153556608,0.26809954572786276,0.11238400833114932,0.16585958453975455,0.40560601168400073,0.2306005123519664,0.22631648315334313,0.28036694552436314,0.41839832208238287,0.5431184185548658,0.26798128185273284,0.1969008205355478,0.17828825897948444,0.33377210945701025,0.1746335538336911,0.3547510178085202,0.3564906009252371,0.6317332693933034,0.4595285930620808,0.19395432067494456
south-florida,South Florida,2026,11,0,R64,116.6046161032,101.68737729737,14.917238805829996,0.82837944704628,-0.14874960463899,50.9,48.4,15.2,18.8,38.2,31.8,41.1,38.8,33.1,33.9,74.3,0.11828825086702109,117.33999999999999,19.000000000000014,0.4666666666666667,0.12511136292577413,0.11363964868273914,0.32493358874644596,4.934658101096026,6.965976917682806,4.461781133333334,0.4,0.0,12.497727272727232,15.850022783019027,118.89000000000001,104.60000000000001,110.94285714285714,121.48999999999998,46.43333333333334,49.9,52.15500000000001,18.5,15.842857142857143,14.459999999999999,36.166666666666664,34.48571428571429,39.87,16.889999999999972,5.721666666666671,-4.040000000000001,3.703333333333333,3.0,102.02499999999999,7.885714285714272,21.310714285714283,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
